offset,text_target
CH2_CREW_TEXT_00,"Roma, a cidade eterna... Não vejo a hora de explorar suas sete colinas!"
CH2_CREW_TEXT_01,"A vida é um cabaré, querido. Venha para o cabaré!"
CH2_CREW_TEXT_02,"Ella... você é tão ""bella""! Ah, sou realmente um poeta romano, não é?"
CH2_CREW_TEXT_03,"Que bom estar de volta navegando no ""Barco do Amor""!"
CH2_CREW_TEXT_04,Encontrei minha dama. Ella... você reacendeu a faísca no meu coração!
CH2_CREW_TEXT_05,"Se o trabalho não é diversão, você não está no time certo!"
CH2_CREW_TEXT_06,Mal posso esperar para tomar um sorvete italiano de verdade na frente do Panteão em Roma!
CH2_CREW_TEXT_07,"Quando em Roma, faça como os romanos fazem! Anotado, farei então..."
CH2_CREW_TEXT_08,Águas agitadas fazem marinheiros corajosos! Que seus sonhos zarpem...
CH2_CREW_TEXT_09,"No mar, aprendi quanto pouco uma pessoa precisa, não quanto... e tudo que precisamos é amor."
