offset,file,text_en,byte_budget
scena/mp4000_ev.dat:0x1546cd,scena/mp4000_ev.dat, &lG,5
scena/mp4000_ev.dat:0x154721,scena/mp4000_ev.dat, &|G,5
scena/mp4000_ev.dat:0x1591ff,scena/mp4000_ev.dat,@& M,5
scena/mp4000_ev.dat:0x161e15,scena/mp4000_ev.dat, &WW,5
scena/mp4000_ev.dat:0x168621,scena/mp4000_ev.dat,@& _,5
scena/mp4000_ev.dat:0x2352c1,scena/mp4000_ev.dat,before you start your adventure?,33
scena/mp4000_ev.dat:0x2352e2,scena/mp4000_ev.dat,<C2>Trails in the Sky 1st Chapter<C1>,38
scena/mp4000_ev.dat:0x235308,scena/mp4000_ev.dat,<C1>Would you like to watch a summary of,41
scena/mp4000_ev.dat:0x235358,scena/mp4000_ev.dat,<W800>Trails in the Sky 1st Chapter Summary - END,50
scena/mp4000_ev.dat:0x23549c,scena/mp4000_ev.dat,"Oh, Estelle.",13
scena/mp4000_ev.dat:0x2354e4,scena/mp4000_ev.dat,W-We have a problem!,21
scena/mp4000_ev.dat:0x235508,scena/mp4000_ev.dat,I know.,8
scena/mp4000_ev.dat:0x235520,scena/mp4000_ev.dat,"Joshua... He's gone, isn't he?",31
scena/mp4000_ev.dat:0x235568,scena/mp4000_ev.dat,B-But how...?,14
scena/mp4000_ev.dat:0x23558a,scena/mp4000_ev.dat,How the heck do you know that?!,32
scena/mp4000_ev.dat:0x2355cd,scena/mp4000_ev.dat,Came back to find you asleep in my room.,41
scena/mp4000_ev.dat:0x2355f6,scena/mp4000_ev.dat,I had a meeting with some military brass.,42
scena/mp4000_ev.dat:0x235630,scena/mp4000_ev.dat,penned by Joshua.,18
scena/mp4000_ev.dat:0x235689,scena/mp4000_ev.dat,It was more than enough to deduce what happened.,49
scena/mp4000_ev.dat:0x2356da,scena/mp4000_ev.dat,W-Well then...!,16
scena/mp4000_ev.dat:0x2356fe,scena/mp4000_ev.dat,out here like nothing's wrong?!,32
scena/mp4000_ev.dat:0x23571e,scena/mp4000_ev.dat,Then how can you just stand,28
scena/mp4000_ev.dat:0x23574e,scena/mp4000_ev.dat,We need to go look for him!,28
scena/mp4000_ev.dat:0x2357d8,scena/mp4000_ev.dat,down would be impossible. Even for me.,39
scena/mp4000_ev.dat:0x2357ff,scena/mp4000_ev.dat,"If he truly decided to disappear, tracking him",47
scena/mp4000_ev.dat:0x23583e,scena/mp4000_ev.dat,"off five years ago, he almost had me cornered.",47
scena/mp4000_ev.dat:0x23586d,scena/mp4000_ev.dat,"He's far too skilled. After all, when we faced",47
scena/mp4000_ev.dat:0x235913,scena/mp4000_ev.dat,I've avoided asking this question for so long...,49
scena/mp4000_ev.dat:0x235959,scena/mp4000_ev.dat,"Just...who is Joshua, exactly?",31
scena/mp4000_ev.dat:0x2359ea,scena/mp4000_ev.dat,'Ouroboros.' That's what they call themselves.,47
scena/mp4000_ev.dat:0x235a29,scena/mp4000_ev.dat,from the shadows to manipulate global events.,46
scena/mp4000_ev.dat:0x235a57,scena/mp4000_ev.dat,"A secret society led by the Grandmaster, working",49
scena/mp4000_ev.dat:0x235aa9,scena/mp4000_ev.dat,"And apparently, Joshua was once a member.",42
scena/mp4000_ev.dat:0x235b16,scena/mp4000_ev.dat,truly are.,11
scena/mp4000_ev.dat:0x235b21,scena/mp4000_ev.dat,Not even the Bracer Guild knows what they,42
scena/mp4000_ev.dat:0x235b4b,scena/mp4000_ev.dat,There's no hard info on them anywhere.,39
scena/mp4000_ev.dat:0x235b86,scena/mp4000_ev.dat,"incite panic. So, we don't.",28
scena/mp4000_ev.dat:0x235ba2,scena/mp4000_ev.dat,Publicly acknowledging their existence would only,50
scena/mp4000_ev.dat:0x235be9,scena/mp4000_ev.dat,know they're up to something.,30
scena/mp4000_ev.dat:0x235c07,scena/mp4000_ev.dat,"But regardless, they exist. And we",35
scena/mp4000_ev.dat:0x235c3a,scena/mp4000_ev.dat,The coup was but one example of their handiwork.,49
scena/mp4000_ev.dat:0x235ca7,scena/mp4000_ev.dat,Wh-Which means...,18
scena/mp4000_ev.dat:0x235ccd,scena/mp4000_ev.dat,Lieutenant Lorence is part of Ouroboros?!,42
scena/mp4000_ev.dat:0x235d1b,scena/mp4000_ev.dat,"Indeed. Of that, I'm positive.",31
scena/mp4000_ev.dat:0x235d4a,scena/mp4000_ev.dat,He had assistance.,19
scena/mp4000_ev.dat:0x235d5d,scena/mp4000_ev.dat,But that's not all. The lieutenant wasn't alone.,49
scena/mp4000_ev.dat:0x235d9d,scena/mp4000_ev.dat,"...Assistance that included Joshua, it seems.",46
scena/mp4000_ev.dat:0x235ddf,scena/mp4000_ev.dat,H-Hang on a second...,22
scena/mp4000_ev.dat:0x235e0d,scena/mp4000_ev.dat,What do you mean?!,19
scena/mp4000_ev.dat:0x235e46,scena/mp4000_ev.dat,Only what Joshua detailed himself.,35
scena/mp4000_ev.dat:0x235e9d,scena/mp4000_ev.dat,the past five years.,21
scena/mp4000_ev.dat:0x235eb2,scena/mp4000_ev.dat,of guild information to this secret society over,49
scena/mp4000_ev.dat:0x235ee3,scena/mp4000_ev.dat,"In his note, he confessed to leaking a great deal",50
scena/mp4000_ev.dat:0x235f3b,scena/mp4000_ev.dat,hypnotically conditioned to do their bidding.,46
scena/mp4000_ev.dat:0x235f69,scena/mp4000_ev.dat,"Although, it wasn't his own will. He'd been",44
scena/mp4000_ev.dat:0x235fb5,scena/mp4000_ev.dat,N-No way...,12
scena/mp4000_ev.dat:0x235fed,scena/mp4000_ev.dat,I can't believe it...,22
scena/mp4000_ev.dat:0x236018,scena/mp4000_ev.dat,There's no telling what they're capable of.,44
scena/mp4000_ev.dat:0x236054,scena/mp4000_ev.dat,Don't even think about it.,27
scena/mp4000_ev.dat:0x23606f,scena/mp4000_ev.dat,Pursuing them would be foolish.,32
scena/mp4000_ev.dat:0x23610b,scena/mp4000_ev.dat,You've gotta be joking...right?,32
