offset,text_en,byte_budget
STR_DIALOGS_SW_D1_BALOF_1,STR_DIALOGS_SW_D1_BALOF_1,25
STR_DIALOGS_SW_D2_BALOF_1,STR_DIALOGS_SW_D2_BALOF_1,25
STR_DIALOGS_SW_D2_BALOF_2,STR_DIALOGS_SW_D2_BALOF_2,25
STR_DIALOGS_SW_D2_BALOF_3,STR_DIALOGS_SW_D2_BALOF_3,25
STR_DIALOGS_SW_D3_BALOF_1,STR_DIALOGS_SW_D3_BALOF_1,25
STR_DIALOGS_SW_D3_BALOF_2,STR_DIALOGS_SW_D3_BALOF_2,25
STR_DIALOGS_SW_D4_BALOF_1,STR_DIALOGS_SW_D4_BALOF_1,25
STR_DIALOGS_SW_D5_BALOF_1,STR_DIALOGS_SW_D5_BALOF_1,25
STR_DIALOGS_SW_D6_BALOF_1,STR_DIALOGS_SW_D6_BALOF_1,25
STR_DIALOGS_SW_D6_BALOF_2,STR_DIALOGS_SW_D6_BALOF_2,25
STR_DIALOGS_SW_D6_BALOF_3,STR_DIALOGS_SW_D6_BALOF_3,25
STR_DIALOGS_SW_D7_BALOF_1,STR_DIALOGS_SW_D7_BALOF_1,25
STR_DIALOGS_SW_D7_BALOF_2,STR_DIALOGS_SW_D7_BALOF_2,25
STR_DIALOGS_SW_D8_BALOF_1,STR_DIALOGS_SW_D8_BALOF_1,25
STR_DIALOGS_SW_D8_BALOF_2,STR_DIALOGS_SW_D8_BALOF_2,25
STR_DIALOGS_SW_D9_BALOF_1,STR_DIALOGS_SW_D9_BALOF_1,25
STR_DIALOGS_SW_D9_BALOF_2,STR_DIALOGS_SW_D9_BALOF_2,25
