offset,text_en,byte_budget
STR_DIALOGS_PLAINS3_AP2_D1_FINSE_1,"In this place, we are the guests. I'm simply responsible for preserving our hosts.",82
STR_DIALOGS_PLAINS3_AP2_D1_FINSE_2,May I help you with something?,30
STR_DIALOGS_PLAINS3_AP2_D2_FINSE_1,...,3
STR_DIALOGS_PLAINS3_AP2_D2_FINSE_2,Hafin City's insignia...,24
STR_DIALOGS_PLAINS3_AP2_D2_FINSE_3,So soon...,10
STR_DIALOGS_PLAINS3_AP2_D2_FINSE_4,Mister Jivan told me this could happen one day.,47
STR_DIALOGS_PLAINS3_AP2_D2_FINSE_5,"Proceed, I understand that circumstances require it.",52
STR_DIALOGS_PLAINS3_AP2_D2_FINSE_6,The flower you're looking for is right here. I've been keeping her alive for you.,81
STR_DIALOGS_PLAINS3_AP2_D2_FINSE_7,"Please remove her extremely delicately and, above all, acknowledge her sacrifice with respect.",94
STR_DIALOGS_PLAINS3_AP2_D3_FINSE_1,She is yours.,13
STR_DIALOGS_PLAINS3_AP2_D3_FINSE_2,"Take her to mister Jivan and tell him that, should he need anything, I'll be here.",82
STR_DIALOGS_PLAINS3_AP2_D3_FINSE_3,"Don't worry, it'll be alright.",30
