offset,table,text_en,speaker
STR_DIALOGS_CAVE_23_D1_BALOF_1,texts_DIALOGS,Thank you!!!_100_ Isn't it amazing how you can't even get a wink of sleep in this monster-riddled cave?,BALOF
STR_DIALOGS_CAVE_23_D1_BALOF_2,texts_DIALOGS,You close your eyes for a second and end up strung up like a leg of ham.,BALOF
STR_DIALOGS_CAVE_23_D2_BALOF_1,texts_DIALOGS,"By the way, I'm <color=CHA>Balof</color>,_100_ merchant and friend of the person who saves me, which leads us to you._100_ I don't know how to thank you for taking me off the menu for those spiders.",BALOF
STR_DIALOGS_CAVE_23_D2_BALOF_2,texts_DIALOGS,Wait..._300_ I know! Just a second...,BALOF
STR_DIALOGS_CAVE_23_INTER_D1_BALOF_1,texts_DIALOGS,Here it is!,BALOF
STR_DIALOGS_CAVE_23_D3_BALOF_1,texts_DIALOGS,Err..._500_ Was that landslide there a minute ago?_500_ Never mind.,BALOF
STR_DIALOGS_CAVE_23_D4_BALOF_1,texts_DIALOGS,"I know it's not exactly a magic ring but, since you've come this far, I think you'll appreciate this.",BALOF
STR_DIALOGS_CAVE_23_D5_BALOF_1,texts_DIALOGS,Why don't you try using one to get us out of here?,BALOF
STR_DIALOGS_CAVE_23_D5_BALOF_2,texts_DIALOGS,"A word of advice,_100_ try not to be around when they explode._100_ I wouldn't want to lose my new best friend so soon.",BALOF
STR_DIALOGS_CAVE_23_D6_BALOF_1,texts_DIALOGS,"Freeeee!_300_ I'm off...
Oh, by the way!_100_ If you fancy exploring when you get out of here,_100_ to the east of these caves you'll find <color=LOC>Hafin City</color>.",BALOF
STR_DIALOGS_CAVE_23_D6_BALOF_2,texts_DIALOGS,"Come and see me!_100_ I'll introduce you to my family and give you something to help you on your incredible adventures._100_ Because you have embarked on an incredible adventure,_100_ right?",BALOF
STR_DIALOGS_CAVE_23_D6_BALOF_3,texts_DIALOGS,"Anyway, I'm outta here.",BALOF
STR_DIALOGS_GAMEINTRO_D1_SOLDIER_1,texts_DIALOGS,Now what?,SOLDIER
STR_DIALOGS_GAMEINTRO_D1_BRIGARD_1,texts_DIALOGS,Silence!,BRIGARD
STR_DIALOGS_GAMEINTRO_D1_VALKIRIE_1,texts_DIALOGS,"Oh, brave warriors who have fallen in the heat of battle!",VALKIRIE
STR_DIALOGS_GAMEINTRO_D2_BRIGARD_1,texts_DIALOGS,Who are you?_500_ Is this your doing?,BRIGARD
STR_DIALOGS_GAMEINTRO_D2_VALKIRIE_1,texts_DIALOGS,"I am a <color=CHA>Valkyrie</color>._500_ We are the key of the fallen, we serve to perpetuate their existence beyond this world._500_
You must accompany me.",VALKIRIE
STR_DIALOGS_GAMEINTRO_D2_VALKIRIE_2,texts_DIALOGS,You must accompany me.,VALKIRIE
STR_DIALOGS_GAMEINTRO_D3_SOLDIER_1,texts_DIALOGS,Valkyries really do exist!,SOLDIER
