offset,text_target
STR_DIALOGS_PLAINS3_DV_D1_SANGRIGOR_1,"Vá, soldado... Não complique isso."
STR_DIALOGS_PLAINS3_DV_D1_SANGRIGOR_2,Como você pode desafiar seu próprio general? Você já não faz parte daquele exército que tanto tenta salvar?
STR_DIALOGS_PLAINS3_DV_D1_SANGRIGOR_3,Como deseja. Farei eu mesmo. Fique quieto enquanto a liberto desse sofrimento.
STR_DIALOGS_PLAINS3_DV_D2_SANGRIGOR_1,Tsk...
STR_DIALOGS_PLAINS3_DV_D2_SANGRIGOR_2,"Você é mais resistente que os outros, mas para mim não passa de um verme tentando escapar de uma maçã."
STR_DIALOGS_PLAINS3_DV_D2_SANGRIGOR_3,Isso termina agora.
STR_DIALOGS_PLAINS3_DV_D3_SANGRIGOR_1,Liandris!
STR_DIALOGS_PLAINS3_DV_D3_SANGRIGOR_2,"Liandris, ajude-me a prender esse soldado. Sua força ameaça nossos planos."
STR_DIALOGS_PLAINS3_DV_D3_LIANDRIS_3,Sangrigor? Do que você está falando? O que você está fazendo?
STR_DIALOGS_PLAINS3_DV_D3_SANGRIGOR_4,Devemos espalhar a Praga Negra por cada canto deste mundo. Esse é nosso propósito.
STR_DIALOGS_PLAINS3_DV_D3_LIANDRIS_5,"Sangrigor, não é você quem fala, é um dos parasitas."
STR_DIALOGS_PLAINS3_DV_D3_LIANDRIS_6,Ouça-me atentamente.
STR_DIALOGS_PLAINS3_DV_D3_SANGRIGOR_7,"Entendo... Você também não compreende nada, igual aos outros."
STR_DIALOGS_PLAINS3_DV_D3_LIANDRIS_8,O quê...?
STR_DIALOGS_PLAINS3_DV_D3_SANGRIGOR_9,Você pensa que é um parasita me controlando?_300_ Que estou fazendo isso porque sou fantoche?
STR_DIALOGS_PLAINS3_DV_D3_SANGRIGOR_10,Ahahaha! Você é engraçado...
STR_DIALOGS_PLAINS3_DV_D4_LIANDRIS_1,O parasita...
STR_DIALOGS_PLAINS3_DV_D4_SANGRIGOR_2,"Depressa, Liandris! Pegue! Ele te mostrará a verdade! Faça!"
STR_DIALOGS_PLAINS3_DV_D4_LIANDRIS_3,Você foi longe demais. Não posso mais pedir clemência por você.
STR_DIALOGS_PLAINS3_DV_D4_SANGRIGOR_4,"Pensei que você me ouviria, mas não desistirei até quebrar suas correntes."
STR_DIALOGS_PLAINS3_DV_D4_SANGRIGOR_5,Voltarei por todos vocês.
STR_DIALOGS_PLAINS3_DV_D5_LIANDRIS_1,Sangrigor!
STR_DIALOGS_PLAINS3_DV_D6_HAFINSOLDIER_1,Ah! Aqui estão vocês!
STR_DIALOGS_PLAINS3_DV_D6_HAFINSOLDIER_2,Pelos Deuses! O que aconteceu aqui em Terragaya?
STR_DIALOGS_PLAINS3_DV_D6_HAFINSOLDIER_3,Eles são vítimas da infecção?
STR_DIALOGS_PLAINS3_DV_D6_HAFINSOLDIER_4,"Rápido, soldado, temos que voltar para Hafin. Jivan está preparando os estágios finais do feitiço curativo. Vamos levá-los para ele."
STR_DIALOGS_PLAINS3_DV_D7_SANGRIGOR_1,Não tão rápido!
