offset,text_target
STR_DIALOGS_DESERT_AP_D0_BRIGARD_1,Trouxe reforcos!
STR_DIALOGS_DESERT_AP_D0_BRIGARD_2,Embora eu veja que nao eram necessarios...
STR_DIALOGS_DESERT_AP_D0_ADAMONT_3,General Brigard?!
STR_DIALOGS_DESERT_AP_D0_ADAMONT_4,"Sinto ter te preocupado, General."
STR_DIALOGS_DESERT_AP_D0_BRIGARD_5,Voltemos para a cidade. Voce pode me contar o que aconteceu aqui.
STR_DIALOGS_DESERT_AP_D1_BRIGARD_1,Que droga...?
STR_DIALOGS_DESERT_AP_D2_GALATH_1,"Eh uma miragem?_300_ Quando meus informantes me disseram, nao consegui acreditar. O grande Brigard em pessoa!"
STR_DIALOGS_DESERT_AP_D3_BRIGARD_1,Galath?!
STR_DIALOGS_DESERT_AP_D3_ADAMONT_2,O Leao de Dadelm?_300_ Aqui?
STR_DIALOGS_DESERT_AP_D3_GALATH_3,Entao e por isso que voce nao apareceu no campo de batalha...
STR_DIALOGS_DESERT_AP_D3_GALATH_4,"Bahahaha!_300_ Meu, meu... Que tragico! Voce morreu antes mesmo de poder partir! Que fim para a Espada 'imbativel' de Zarga."
STR_DIALOGS_DESERT_AP_D4_BRIGARD_1,A guerra... acabou?! O que aconteceu?!
STR_DIALOGS_DESERT_AP_D4_GALATH_2,"Ate onde sei, ate aquelas Valquirias aparecerem, nao. Mas ja que voce esta aqui, duvido que dure muito mais._100_ Infelizmente para mim, nao verei a queda de Zarga com meus proprios olhos..."
STR_DIALOGS_DESERT_AP_D4_GALATH_3,Aquele maldito amigo seu me presenteou com uma flecha nas costas...
STR_DIALOGS_DESERT_AP_D4_BRIGARD_4,Riva! Se voce a machucou...
STR_DIALOGS_DESERT_AP_D4_GALATH_5,"Brigard... Eh uma guerra... Se ela ainda nao chegou, em breve chegara."
STR_DIALOGS_DESERT_AP_D4_BRIGARD_6,Tsk...
STR_DIALOGS_DESERT_AP_D4_GALATH_7,"A unica coisa que me consola eh que voce caiu primeiro. Entao, o que aconteceu com voce?"
STR_DIALOGS_DESERT_AP_D5_BRIGARD_1,...
STR_DIALOGS_DESERT_AP_D5_GALATH_2,Espera._100_ Aqueles corpos..._500_ Voce nao esta morto?!
STR_DIALOGS_DESERT_AP_D5_GALATH_3,"Maldito Brigard! Sempre tentando ser melhor, mesmo na outra vida. Hora de consertar esse problema."
STR_DIALOGS_DESERT_AP_D5_BRIGARD_4,"Espera, Galath. Nao ha necessidade de luta. Todos nos buscamos a mesma coisa."
STR_DIALOGS_DESERT_AP_D6_GALATH_1,"O que busco esta bem na minha frente. Este momento me foi roubado na batalha, mas nao pense que desperdicerei uma segunda chance."
STR_DIALOGS_DESERT_AP_D7_GALATH_1,Soldados!_200_ Ataquem!
STR_DIALOGS_DESERT_AP_D8_ADAMONT_1,General Brigard!
STR_DIALOGS_DESERT_AP_D8_BRIGARD_2,"Fique para tras, Adamont. Cuidaremos disso."
STR_DIALOGS_DESERT_AP_D9_GALATH_1,Basta!
STR_DIALOGS_DESERT_AP_D9_GALATH_2,"Entao eh verdade o que dizem sobre a energia que este mundo possui. Vencer essa batalha nao significa nada, Brigard."
STR_DIALOGS_DESERT_AP_D9_GALATH_3,"Recuem, soldados!_100_ Mais vale ficarem atentos, nao abandonarei minha presa tao facilmente."
STR_DIALOGS_DESERT_AP_D9_BRIGARD_4,...
STR_DIALOGS_DESERT_AP_D10_ADAMONT_1,O General de Dadelm esta morto._100_ Talvez nem tudo esteja perdido.
STR_DIALOGS_DESERT_AP_D10_BRIGARD_2,"Nao sei, Adamont. As forcas de Zarga foram praticamente reduzidas a metade. Mesmo que Galath tenha caido, vencer esta guerra nao sera facil para eles."
STR_DIALOGS_DESERT_AP_D11_BRIGARD_1,"(Por favor, Riva... Sobreviva)"
STR_DIALOGS_DESERT_AP_D12_BRIGARD_1,Falaremos na cidadela e pensaremos em algo.
STR_DIALOGS_DESERT_AP_D12_BRIGARD_2,"Bem feito, soldado!"
STR_DIALOGS_DESERT_AP_D12_BRIGARD_3,Estamos partindo.
STR_DIALOGS_DESERT_AP_D12_ADAMONT_4,"Sim, General!"
STR_DIALOGS_DESERT_AP_D13_ADAMONT_1,Voces ouviram o General!_100_ Fiquem para tras e eu os chuto para la. Avancem!
