offset,text_en,byte_budget
STR_DIALOGS_CAVE_23_D1_BALOF_1,Thank you!!!_100_ Isn't it amazing how you can't even get a wink of sleep in this monster-riddled cave?,103
STR_DIALOGS_CAVE_23_D1_BALOF_2,You close your eyes for a second and end up strung up like a leg of ham.,72
STR_DIALOGS_CAVE_23_D2_BALOF_1,"By the way, I'm <color=CHA>Balof</color>,_100_ merchant and friend of the person who saves me, which leads us to you._100_ I don't know how to thank you for taking me off the menu for those spiders.",198
STR_DIALOGS_CAVE_23_D2_BALOF_2,Wait..._300_ I know! Just a second...,37
STR_DIALOGS_CAVE_23_D3_BALOF_1,Err..._500_ Was that landslide there a minute ago?_500_ Never mind.,67
STR_DIALOGS_CAVE_23_D4_BALOF_1,"I know it's not exactly a magic ring but, since you've come this far, I think you'll appreciate this.",101
STR_DIALOGS_CAVE_23_D5_BALOF_1,Why don't you try using one to get us out of here?,50
STR_DIALOGS_CAVE_23_D5_BALOF_2,"A word of advice,_100_ try not to be around when they explode._100_ I wouldn't want to lose my new best friend so soon.",119
STR_DIALOGS_CAVE_23_D6_BALOF_1,"Freeeee!_300_ I'm off...
Oh, by the way!_100_ If you fancy exploring when you get out of here,_100_ to the east of these caves you'll find <color=LOC>Hafin City</color>.",169
STR_DIALOGS_CAVE_23_D6_BALOF_2,"Come and see me!_100_ I'll introduce you to my family and give you something to help you on your incredible adventures._100_ Because you have embarked on an incredible adventure,_100_ right?",190
STR_DIALOGS_CAVE_23_D6_BALOF_3,"Anyway, I'm outta here.",23
