offset,text_en,byte_budget
STR_DIALOGS_TOWN_ASL_D1_SIRFIEL_1,"Ahh, and who do we have here? Take a seat.",42
STR_DIALOGS_TOWN_ASL_D1_SIRFIEL_2,"Ah, I see, the whole world's busy today. Are you planning some sort of party without inviting me?",97
STR_DIALOGS_TOWN_ASL_D1_SIRFIEL_3,"It's a joke, soldier. Relax.",28
STR_DIALOGS_TOWN_ASL_D1_SIRFIEL_4,"What? Magical items? Yes, I asked Brigard to put this knowledge into practice, so I'm putting together equipment with different magical properties.",147
STR_DIALOGS_TOWN_ASL_D1_SIRFIEL_5,"Resist high temperatures, eh? Yes, I have something for that around here somewhere...",85
STR_DIALOGS_TOWN_ASL_D2_SIRFIEL_1,Just a moment...,16
STR_DIALOGS_TOWN_ASL_D2_SIRFIEL_2,But I left it right there...,28
STR_DIALOGS_TOWN_ASL_D2_SIRFIEL_3,I can't see it anywhere.,24
STR_DIALOGS_TOWN_ASL_D2_SIRFIEL_4,...,3
STR_DIALOGS_TOWN_ASL_D3_SIRFIEL_1,"Soldier, I have bad news.",25
STR_DIALOGS_TOWN_ASL_D3_SIRFIEL_2,It looks like someone has taken the <color=OBJ>Volcanic Pendant</color> that would have protected you from the extreme heat.,124
STR_DIALOGS_TOWN_ASL_D3_SIRFIEL_3,Without my permission!,22
STR_DIALOGS_TOWN_ASL_D3_SIRFIEL_4,"But don't grieve just yet, I can make you another.",50
STR_DIALOGS_TOWN_ASL_D4_SIRFIEL_1,Let's see how it went...,24
STR_DIALOGS_TOWN_ASL_D4_SIRFIEL_2,Aha... yes... I see...,22
STR_DIALOGS_TOWN_ASL_D5_SIRFIEL_1,Alright. I crafted the last amulet using an element than one of your friends was kind enough to bring me. It can be found <color=LOC>on the highest snowy peaks at the furthest edge of the western Tempes Plains</color>.,218
STR_DIALOGS_TOWN_ASL_D5_SIRFIEL_2,"The element in question is frost fruit, borne by the frost tree.",64
STR_DIALOGS_TOWN_ASL_D5_SIRFIEL_3,"I'm afraid that, if you want to amulet, you have no other option than going to find it. If you decide to make the effort, I'd be delighted to help you.",151
STR_DIALOGS_TOWN_ASL_D5_SIRFIEL_4,"Ah yes, something of particular importance. Collecting the frost fruit is half the task.",88
STR_DIALOGS_TOWN_ASL_D5_SIRFIEL_5,"When you have it, <color=IMP>you'll have to come running straight back</color>. Once it's plucked off the tree, it'll start to melt.",132
STR_DIALOGS_TOWN_ASL_D5_SIRFIEL_6,"So, if you lose it along the way, you'll have to go back for another one.",73
STR_DIALOGS_TOWN_ASL_D5_SIRFIEL_7,"Right, that should be everything you need to know. Whatever you decide to do, I'll be here.",91
STR_DIALOGS_TOWN_ASL_D5_SIRFIEL_8,I'm going to carry on reading while you think about it.,55
STR_DIALOGS_TOWN_ASL_D6_SIRFIEL_1,What?!,6
STR_DIALOGS_TOWN_ASL_D6_SIRFIEL_2,Oh!,3
STR_DIALOGS_TOWN_ASL_D6_SIRFIEL_3,You've got it!,14
STR_DIALOGS_TOWN_ASL_D6_SIRFIEL_4,"Quickly, there's no time to waste.",34
STR_DIALOGS_TOWN_ASL_D6_SIRFIEL_5,Just a moment.,14
STR_DIALOGS_TOWN_ASL_D7_SIRFIEL_1,"Phew... That was close, here it is, the <color=OBJ>Volcanic Pendant</color>.",76
STR_DIALOGS_TOWN_ASL_D8_SIRFIEL_1,"I hope it's worth the trouble. It's such a useful little thing that you don't even need to hang it round your neck for it to work, just keeping it somewhere on you will be enough.",179
STR_DIALOGS_TOWN_ASL_D8_SIRFIEL_2,"I think if I left Zarga's army and set up my own item enchanting shop, I'd end up being very rich. What do you think?",117
STR_DIALOGS_TOWN_ASL_D8_SIRFIEL_3,"Though, I can't stop thinking about it... Where have I left the other amulet?",77
STR_DIALOGS_TOWN_ASL_D8_SIRFIEL_4,"Anyway... These things turn up when you're not looking. If that's all I can do for you, I'll continue with my fascinating reading.",130
