offset,text_en,byte_budget
STR_DIALOGS_TOWN_AP_COMBAT_D1_EDIL_0,Pssst...,8
STR_DIALOGS_TOWN_AP_COMBAT_D1_EDIL_1,Come to speak with the old man? _300_Good luck he's had a bit of an odd day. He's a bit difficult to deal with when he gets all mystical.,137
STR_DIALOGS_TOWN_AP_COMBAT_D2_JIVAN_1,...,3
STR_DIALOGS_TOWN_AP_COMBAT_D2_JIVAN_2,Listen to me carefully...,25
STR_DIALOGS_TOWN_AP_COMBAT_D2_JIVAN_3,"It is difficult to explain, so be prepared to alert your soldiers when I give the signal. We don't have much time.",114
STR_DIALOGS_TOWN_AP_COMBAT_D3_JIVAN_1,"A few days before your arrival, a substance that I was able to identify as hostile agents fell upon Hafin.",106
STR_DIALOGS_TOWN_AP_COMBAT_D3_JIVAN_2,"To ward them off, I created a barrier around the entire city that has kept us safe. I had hoped they would eventually leave, but something appears to be keeping them here.",171
STR_DIALOGS_TOWN_AP_COMBAT_D3_JIVAN_3,"My power is starting to wane, so it won't be long until they arrive.",68
STR_DIALOGS_TOWN_AP_COMBAT_D3_JIVAN_4,"Be careful. Whatever they are, they weren't brought here by the Valkyries.",74
STR_DIALOGS_TOWN_AP_COMBAT_D3_JIVAN_5,I can't hold it much longer...,30
STR_DIALOGS_TOWN_AP_COMBAT_D4_EDIL_1,Old man...?,11
STR_DIALOGS_TOWN_AP_COMBAT_D5_JIVAN_1,I... _1000_ can't..._2000_ hold...,34
STR_DIALOGS_TOWN_AP_COMBAT_D6_EDIL_1,What?!,6
STR_DIALOGS_TOWN_AP_COMBAT_D7_SOLDIERS_1,AH! MONSTERS!,13
STR_DIALOGS_TOWN_AP_COMBAT_D8_BRIGARD_1,"SOLDIERS, DEFEND THE CITY!",26
STR_DIALOGS_TOWN_AP_COMBAT_D9_ADAMONT_1,"IRONCLADS, GET IN FORMATION!",28
STR_DIALOGS_TOWN_AP_COMBAT_D10_EUDER_1,ON MY ORDERS!,13
STR_DIALOGS_TOWN_AP_COMBAT_D10_BIS_SOLDIERS_1,HELP!,5
STR_DIALOGS_TOWN_AP_COMBAT_D11_JIVAN_1,No...,5
STR_DIALOGS_TOWN_AP_COMBAT_D11_JIVAN_2,The entire city is in danger... Because of me? I must go and help them.,71
STR_DIALOGS_TOWN_AP_COMBAT_D12_JIVAN_1,"Let's go, Edil!",15
STR_DIALOGS_TOWN_AP_COMBAT_D12_EDIL_2,No!_100_ I'll defend our home!_100_ He'll help me!,50
STR_DIALOGS_TOWN_AP_COMBAT_D12_JIVAN_3,"Edil, we don't have time! Hafin has never faced anything like this before.",74
STR_DIALOGS_TOWN_AP_COMBAT_D12_EDIL_4,"You prepared me for anything, including something like this!",60
STR_DIALOGS_TOWN_AP_COMBAT_D12_JIVAN_4,Edil...,7
STR_DIALOGS_TOWN_AP_COMBAT_D13_JIVAN_1,"Soldier, please, do not let anything happen to her. She's the most precious thing I have...",91
STR_DIALOGS_TOWN_AP_COMBAT_D13_JIVAN_2,I will be back as soon as I can.,32
STR_DIALOGS_TOWN_AP_COMBAT_D14_EDIL_1,Is that it?_500_ Was that all of them?,38
STR_DIALOGS_TOWN_AP_COMBAT_D14_EDIL_2,We've defeated them all! Yes!,29
STR_DIALOGS_TOWN_AP_COMBAT_D14_EDIL_3,"Although it's almost a shame, I was starting to have fun, he, he...",67
STR_DIALOGS_TOWN_AP_COMBAT_D15_EDIL_1,he...,5
STR_DIALOGS_TOWN_AP_COMBAT_D15_EDIL_2,...,3
STR_DIALOGS_TOWN_AP_COMBAT_D15_EDIL_3,Huh...?_200_ What's ha...?,26
STR_DIALOGS_TOWN_AP_COMBAT_D16_JIVAN_1,EDIL!,5
STR_DIALOGS_TOWN_AP_COMBAT_D17_JIVAN_1,"EDIL, I'M HERE! PLEASE, SAY SOMETHING!",38
STR_DIALOGS_TOWN_AP_COMBAT_D17_JIVAN_2,What's happened? Those things... They must have been able to come into contact with her.,88
STR_DIALOGS_TOWN_AP_COMBAT_D17_JIVAN_3,"I'm so sorry, Edil... I shouldn't have left your side.",54
STR_DIALOGS_TOWN_AP_COMBAT_D18_JIVAN_1,"Edil, I can't lose you...",25
STR_DIALOGS_TOWN_AP_COMBAT_D19_JIVAN_1,"Soldier, I don't hold you responsible. It's all my fault. Despite my years, it appears that I'm still making mistakes...",120
STR_DIALOGS_TOWN_AP_COMBAT_D19_JIVAN_2,"If you want to help both her and your friends, there is something you can do.",77
STR_DIALOGS_TOWN_AP_COMBAT_D19_JIVAN_3,"To the east of Hafin, across the plains, you'll find a small orchard with green flowers at the centre: they're called <color=OBJ>Lilis Radiantis</color>.",153
STR_DIALOGS_TOWN_AP_COMBAT_D19_JIVAN_4,"They..._100_ These are no simple flowers. With them, you'll be able to destroy the agent that's keeping her in this state.",122
STR_DIALOGS_TOWN_AP_COMBAT_D19_JIVAN_5,"Hurry, we don't know how much longer they'll stay like this. And be careful, we're managing to defend the city, but these things will surely be roaming the surrounding area.",173
STR_DIALOGS_TOWN_AP_COMBAT_D19_BIS_JIVAN_1,There's something else.,23
STR_DIALOGS_TOWN_AP_COMBAT_D19_BIS_JIVAN_2,"In order to pick them, you'll need to ask the <color=CHA>garden custodian</color> for permission. Don't worry, he'll oblige your request if you present him with <color=IMP>this seal</color>.",190
