offset,text_source,byte_budget
0x2aa735,ch_401_00,9
0x2aa73f,Wh--Kuon--,10
0x2aa74a,Head,4
0x2aa74f,Looks like she's trying to knock them out to\n,46
0x2aa77e,incapacitate them...,20
0x2aa793,"...If we do end up encountering more, we're\n",45
0x2aa7c1,gonna try our best to fight non-lethally.\n,43
0x2aa7ed,No casualties.,14
0x2aa7fc,U-Understood...,15
0x2aa80c,"You are, of course, aware that we are fighting\n",48
0x2aa83d,a WAR? Are you quite sure you won't retract\n,45
0x2aa86b,that order?,11
0x2aa877,I won't.,8
0x2aa880,So be it. That shouldn't be so hard.,36
0x2aa8a5,"Sure, why not? Orders're orders. I just do what\n",49
0x2aa8d7,"you tell me, boss.",18
0x2aa8ea,"Aww, I'm not allowed to kill anyone?",36
0x2aa90f,That's right. Do your best to incapacitate\n,44
0x2aa93c,without killing.,16
0x2aa94d,I see... Hmhm. Very well.,25
0x2aa967,"Kuon, I know you're anxious about all this,\n",45
0x2aa995,but you need to stop rushing in by yourself.,44
0x2aa9c2,"Oh. S-Sorry, I just... Yeah.",28
0x2aa9df,We're going to do our best not to kill any of\n,47
0x2aaa0f,"Tuskur's soldiers, so relax a little, OK?",41
0x2aaa39,...Huh?,7
0x2aaa41,Hm?,3
0x2aaa45,What are y--\n,14
0x2aaa54,That's not what I--,19
0x2aaa68,"Haku, did you think I was worried because--?",44
0x2aaa95,Tuskur soldier,14
0x2aaaa4,It's the enemy! Sound the alar--\n,34
0x2aaac7,{W90}Eh!?,9
0x2aaad1,Shit.,5
0x2aaad7,It's the enemy! They're over here!,34
0x2aaafa,This isn't good. We need to clean this mess up\n,48
0x2aab2b,before they call for reinforcements.,36
