offset,text_target
STR_DIALOGS_DRAGONSCASTLE_DCDS_D5_DARKSWORD_1,"O dragão à frente... Em breve renascerá, e serei eu quem o derrota novamente..."
STR_DIALOGS_DRAGONSCASTLE_DCDS_D5_DARKSWORD_2,"Esse poder te trouxe aqui também, admita..."
STR_DIALOGS_DRAGONSCASTLE_DCDS_D5_DARKSWORD_3,Agora compreende por que não nos resta outra escolha senão acumular poder?
STR_DIALOGS_DRAGONSCASTLE_DCDS_D5_DARKSWORD_4,"Do contrário, como teria chegado tão longe?"
STR_DIALOGS_DRAGONSCASTLE_DCDS_D6_DARKSWORD_1,Aguarde...
STR_DIALOGS_DRAGONSCASTLE_DCDS_D7_DARKSWORD_1,Zar... ga?
STR_DIALOGS_DRAGONSCASTLE_DCDS_D7_DARKSWORD_2,Lembro de coisas...
STR_DIALOGS_DRAGONSCASTLE_DCDS_D7_DARKSWORD_3,É... perturbador.
STR_DIALOGS_DRAGONSCASTLE_DCDS_D7_DARKSWORD_4,Quero que pare!
STR_DIALOGS_DRAGONSCASTLE_DCDS_D8_DARKSWORD_1,"Matar... Por ela, chegamos a este mundo e abrimos nosso caminho."
STR_DIALOGS_DRAGONSCASTLE_DCDS_D8_DARKSWORD_2,Há algo aqui que parece recompensar quem é como nós. Você também notou... não é?
STR_DIALOGS_DRAGONSCASTLE_DCDS_D8_DARKSWORD_3,O poder que está com você desde que pisou aqui pertence a todos nós. Não poderia desejar um destino maior que me tornar parte dele.
STR_DIALOGS_DRAGONSCASTLE_DCDS_D8_DARKSWORD_4,Até breve... Soldado de Zarga.
