scene,offset,speaker,risk,revisar,source_en,target_pt,correcao,nota
ch_11_01,0x3398,Protagonista,low,,Ngh... ghh...,Nnh... aagh...,,
ch_11_01,0x33a6,Protagonista,low,,Nn...\n,Nnh...\n,,
ch_11_01,0x33ae,Protagonista,low,,It's... warm...?,Está... quente...?,,
ch_11_01,0x33bf,Protagonista,low,,Nh?,Hein?,,
ch_11_01,0x33c3,Protagonista,low,,Wh-Who...,Q-Quem...,,
ch_11_01,0x33cd,Protagonista,low,,...calls... to me...?,...me chama...?,,
ch_11_01,0x33e3,Protagonista,low,amostra,Wait... I'm still...!,Espera... eu ainda...!,,
ch_11_01,0x33f9,Sistema,low,,INITIALIZING AWAKENING PROCESS.,INICIANDO PROCESSO DE DESPERTAR.,,
ch_11_01,0x3419,Sistema,low,,SYSTEMS YELLOW. RESTARTING IN 5 SECONDS.,SISTEMAS EM ALERTA. REINICIANDO EM 5 SEGUNDOS.,,
ch_11_01,0x3442,Sistema,low,,SYSTEM ERROR.,ERRO DE SISTEMA.,,
ch_11_01,0x3450,Sistema,low,,PROBLEM DETECTED IN AWAKENING PROCESS.\n,PROBLEMA DETECTADO NO PROCESSO DE DESPERTAR.\n,,
ch_11_01,0x3479,Sistema,low,,SUBJECT SEVERELY AFFECTED.,SUJEITO GRAVEMENTE AFETADO.,,
ch_11_01,0x3494,Sistema,low,,ABORT COMMAND: CANCELLED. \n,COMANDO DE ABORTAR: CANCELADO. \n,,
ch_11_01,0x34b1,Sistema,low,,PROCESS UNABLE TO BE TERMINATED.\n,IMPOSSÍVEL ENCERRAR O PROCESSO.\n,,
ch_11_01,0x34d4,Sistema,low,amostra,COMMENCING COUNTDOWN.,INICIANDO CONTAGEM REGRESSIVA.,,
ch_11_01,0x34ea,Sistema,low,identico-fonte,"5, {W75}4, {W75}3, {W80}2, {W80}1...","5, {W75}4, {W75}3, {W80}2, {W80}1...",,
ch_11_01,0x350f,Sistema,low,largura,H{W10}A{W10}V{W10}E {W10}A{W10} P{W10}L{W10}E{W10}A{W10}S{W10}A{W10}N{W10}T{W10} A{W10}W{W10}A{W10}K{W10}E{W10}N{W10}I{W10}N{W10}G{W10}--,T{W10}E{W10}N{W10}H{W10}A{W10} {W10}U{W10}M{W10} {W10}B{W10}O{W10}M{W10} {W10}D{W10}E{W10}S{W10}P{W10}E{W10}R{W10}T{W10}A{W10}R{W10}--,,
ch_11_01,0x359d,Protagonista,low,,Wh... Where...?,On... Onde...?,,
ch_11_01,0x35ad,Protagonista,low,,Where... am I...?,Onde... estou...?,,
ch_11_01,0x35bf,Protagonista,low,,Above me... some kind of... cloth ceiling...?,Acima de mim... uma espécie de... teto de pano...?,,
ch_11_01,0x35ed,Protagonista,low,,Barely any light...... Or is it just dark out...?,Quase nenhuma luz...... Ou só está escuro lá fora...?,,
ch_11_01,0x361f,Protagonista,low,,...Noise... Sounds like... fire?,...Barulho... Parece... fogo?,,
ch_11_01,0x3640,Protagonista,low,,U... Urgh... Everything's... distorted...,Nnh... Argh... Está tudo... distorcido...,,
ch_11_01,0x366a,Protagonista,low,amostra,Why... am I...?,Por que... eu...?,,
ch_11_01,0x367a,Kuon,low,,Are you awake?,Você acordou?,,
ch_11_01,0x3689,Protagonista,low,,Ngh... hh...?,Nnh... hn...?,,
ch_11_01,0x3697,Protagonista,low,amostra,What...?,O quê...?,,
ch_11_01,0x36a0,sistema,low,,Girl,Garota,,
ch_11_01,0x36a5,Kuon,low,,"How are you feeling? I didn't see any injuries,\n","Como você está se sentindo? Não vi ferimentos,\n",,
ch_11_01,0x36d7,Kuon,low,,but do you feel any pain anywhere?,mas sente dor em algum lugar?,,
ch_11_01,0x36fa,Kuon,low,,...I suppose you might still be delirious...?,...Acho que você ainda pode estar delirando...?,,
ch_11_01,0x3728,Protagonista,low,,Who... are you...?,Quem... é você...?,,
ch_11_01,0x373b,Kuon,low,,Oh...,Ah...,,
ch_11_01,0x3741,Kuon,low,,"That's... Well, how do I put it...? I think that\n","Isso... Bem, como eu explico...? Acho que isso\n",,
ch_11_01,0x3774,Kuon,low,,might be a bit too hard to explain right now.,pode ser difícil demais de explicar agora.,,
ch_11_01,0x37a2,Kuon,low,,"Well, anyway... do you remember anything about\n","Bom, enfim... você lembra de alguma coisa sobre\n",,
ch_11_01,0x37d3,Kuon,low,,what happened to you?,o que aconteceu com você?,,
ch_11_01,0x37e9,Protagonista,low,,Me...?,Eu...?,,
ch_11_01,0x37f0,Haku,low,,Urgh...,Argh...,,
ch_11_01,0x37f8,Kuon,low,,Oh--just try to relax...,Ah--apenas tente relaxar...,,
ch_11_01,0x3811,Kuon,low,,I can tell you everything you want to know later.,Depois eu te conto tudo o que quiser saber.,,
ch_11_01,0x3843,Protagonista,low,,Ah... I get it...,Ah... entendi...,,
ch_11_01,0x3855,Protagonista,low,,This is... all just... a dream...,Isso é... tudo só... um sonho...,,
ch_11_01,0x3877,Kuon,low,,Just relax for now... and rest.,"Por ora, relaxe... e descanse.",,
ch_11_01,0x3897,Protagonista,low,,Nn... hh...,Nnh... hn...,,
ch_11_01,0x38a3,Kuon,low,,Good night...,Boa noite...,,
ch_11_01,0x38b1,sistema,low,,Woman,Mulher,,
ch_11_01,0x38b7,Mulher (memória),low,,"Oh dear, your room is a mess again...","Ai, ai, seu quarto está uma bagunça de novo...",,
ch_11_01,0x38dd,Garota (memória),low,,"Hey, hey, Uncle! I'm here to visit!","Ei, ei, Tio! Vim te visitar!",,
ch_11_01,0x3901,Garota (memória),low,,"Heh heh... You better be really happy! Cause today,\n","Hehe... É bom você ficar bem feliz! Porque hoje,\n",,
ch_11_01,0x3937,Garota (memória),low,,I'm gonna cook you your favorite      !,vou cozinhar o seu favorito      !,,
ch_11_01,0x395f,Garota (memória),low,,Hmmm... Then if you still aren't married even\n,Hmmm... Então se você ainda não casou nem\n,,
ch_11_01,0x398f,Garota (memória),low,,"when you're really old, I can marry you, OK?","quando estiver bem velho, eu caso com você, tá?",,
ch_11_01,0x39bc,Mulher (memória),low,,I really do worry... You don't have to stay here.\n,Eu me preocupo mesmo... Você não precisa ficar aqui.\n,,
ch_11_01,0x39f0,Mulher (memória),low,,You can always...,Você sempre pode...,,
ch_11_01,0x3a02,Mulher (memória),low,,...You know you can come back anytime.,...Sabe que pode voltar quando quiser.,,
ch_11_01,0x3a29,Mulher (memória),low,,"...You seem so distant, these days.",...Você anda tão distante esses dias.,,
ch_11_01,0x3a4d,Mulher (memória),low,,"Back then, it felt like you were always trailing\n","Antes, parecia que você vivia atrás\n",,
ch_11_01,0x3a80,Mulher (memória),low,,around after the two of us... ,de nós dois o tempo todo... ,,
ch_11_01,0x3a9f,Sistema,low,amostra,Man,Hom,,
ch_11_01,0x3aa3,Homem (memória),low,,"...You took the medicine, then?",...Então você tomou o remédio?,,
ch_11_01,0x3ac3,Homem (memória),low,,There'll be a whole new world waiting for you\n,Um mundo totalmente novo te aguarda\n,,
ch_11_01,0x3af3,Homem (memória),low,amostra,when you wake up... Hmhmhm.,quando você acordar... Hmhmhm.,,
ch_11_01,0x3b0f,Homem (memória),low,,Yes... You are the first... and the last...,Sim... Você é o primeiro... e o último...,,
ch_11_01,0x3b3b,Garota (memória),low,,I'm not gonna make it for you anymore.,Eu não vou mais poder fazer isso por você.,,
ch_11_01,0x3b62,Haku,low,,Right?,né?,,
ch_11_01,0x3b69,Garota (memória),low,,"Hee hee, OK.","Hehe, tá bom.",,
ch_11_01,0x3b76,Garota (memória),low,amostra,You better come. Pinky swear! Cross your heart\n,É bom você vir. Promessa de mindinho! Jura\n,,
ch_11_01,0x3ba7,Garota (memória),low,,and hope to die!,e que morra se mentir!,,
ch_11_01,0x3bb8,Protagonista,low,,It's a promise.,É uma promessa.,,
ch_11_01,0x3bc8,Haku,low,,Nn...,Nnh...,,
ch_11_01,0x3bce,Protagonista,low,,That's... right...,É... verdade...,,
ch_11_01,0x3be1,Protagonista,low,amostra,The promise...,A promessa...,,
ch_11_01,0x3bf0,Protagonista,low,,Have to... go...,Tenho que... ir...,,
ch_11_01,0x3c01,Protagonista,low,,She's waiting...,Ela está esperando...,,
