offset,text_target
STR_DIALOGS_SINKA_AP_QS_1_1,"Ora, se não é o cão de estimação do General!"
STR_DIALOGS_SINKA_AP_QS_1_2,"Ai, relaxa! Não fica chateado, tava só brincando."
STR_DIALOGS_SINKA_AP_QS_1_3,Não tem muito jeito a não ser obedecer os superiores.
STR_DIALOGS_SINKA_AP_QS_1_4,"Aliás, já que você tá sempre vagueando por aí nesse mundo..."
STR_DIALOGS_SINKA_AP_QS_1_5,"Nunca imaginei que pediria favor a você, mas se me ajudar, ensinei um truque que vai gostar."
STR_DIALOGS_SINKA_AP_QS_1_6,É! Fala como um verdadeiro soldado de Zarga! Claro que sim!
STR_DIALOGS_SINKA_AP_QS_1_7,"Olha, existe um mineral chamado <color=OBJ>garnerock</color>. É extremamente resistente mas super leve e flexível ao mesmo tempo."
STR_DIALOGS_SINKA_AP_QS_1_8,"Aliás, uma das minhas adagas é feita do mesmo material."
STR_DIALOGS_SINKA_AP_QS_1_9,"Exato! Você é esperto mesmo, hein? Garnerock é usado principalmente pra fazer armas."
STR_DIALOGS_SINKA_AP_QS_1_10,"Mas é um material raro e nada fácil de achar, o que deixa essas armas absurdamente caras."
STR_DIALOGS_SINKA_AP_QS_1_11,"Tempos atrás, alguém confiou essas adagas a mim mas, burrice minha, perdi uma."
STR_DIALOGS_SINKA_AP_QS_1_12,Será que garnerock existe neste mundo..._100_ Pode ser um mineral comum por aqui ou até mais abundante que lá.
STR_DIALOGS_SINKA_AP_QS_1_13,"De qualquer jeito, se vir alguém com uma arma de lâmina vermelha ou algo parecido, tenta achar os fragmentos e trazer pra mim."
STR_DIALOGS_SINKA_AP_QS_1_14,"Você sabe onde me achar. Se tiver algo, vou tá esperando."
