term,category,target_translation,handling_rule,spoiler_level,aliases,notes,updated_date
Estelle Bright,Personagem,,manter_original,none,Estelle,Protagonista. SRC-002/SRC-006.,2026-08-23
Joshua Bright,Personagem,,manter_original,none,Joshua,Deuteragonista. SRC-002.,2026-08-23
Scherazard Harvey,Personagem,,manter_original,none,Schera,Bracer senior "Silver Streak". Corpus usa majoritariamente "Schera". SRC-002/SRC-006.,2026-08-23
Olivier Lenheim,Personagem,,manter_original,none,Olivier,Musico viajante de Erebonia. SRC-002.,2026-08-23
Agate Crosner,Personagem,,manter_original,none,Agate,Bracer senior "Heavy Blade". SRC-002.,2026-08-23
Kloe Rinz,Personagem,,manter_original,none,Kloe,Estudante da Academia Real Jenis. SRC-002.,2026-08-23
Tita Russell,Personagem,,manter_original,none,Tita,Aprendiz na ZCF. SRC-002.,2026-08-23
Zin Vathek,Personagem,,manter_original,none,Zin,Bracer veterano de Calvard. SRC-002.,2026-08-23
Cassius Bright,Personagem,,manter_original,none,Cassius,Pai adotivo de Estelle/Joshua; comandante do Royal Army. SRC-006.,2026-08-23
Renne,Personagem,,manter_original,low,,"Backstory UNSOURCED alem da premissa (busca por ela ligada a Ouroboros) — tratar com cautela de spoiler. SRC-006.",2026-08-23
Anelace Elfead,Personagem,,manter_original,none,Anelace,Colega de treino de Estelle. SRC-006.,2026-08-23
Kevin Graham,Personagem,,manter_original,none,Kevin,Sacerdote viajante da Septian Church. SRC-002/SRC-006.,2026-08-23
Liberl,Local,,manter_original,none,,Reino onde se passa a historia. SRC-002/SRC-006.,2026-08-23
Rolent,Local,,manter_original,none,,Regiao/cidade de Liberl. SRC-006.,2026-08-23
Bose,Local,,manter_original,none,,Regiao/cidade de Liberl. SRC-006.,2026-08-23
Ruan,Local,,manter_original,none,,Regiao/cidade de Liberl. SRC-006.,2026-08-23
Zeiss,Local,,manter_original,none,,Regiao/cidade de Liberl (ZCF). SRC-006.,2026-08-23
Grancel,Local,,manter_original,none,,Capital de Liberl. SRC-006.,2026-08-23
Bracer Guild,Facção,Guilda dos Bracers,traduzir,none,,"CONFIRMADO pelo usuario em 2026-08-23. ""Bracer"" mantido como termo tecnico do universo. SRC-006.",2026-08-23
Royal Army of Liberl,Facção,Exército Real de Liberl,traduzir,none,,CONFIRMADO pelo usuario em 2026-08-23. SRC-006.,2026-08-23
Ouroboros,Facção,,manter_original,low,,Nome proprio de organizacao secreta; natureza/membros UNSOURCED (fora da fronteira de spoiler). SRC-006.,2026-08-23
Aidios,Conceito,,manter_original,none,,Nome proprio de divindade. SRC-006.,2026-08-23
Goddess,Conceito,Deusa,traduzir,none,,"Termo comum referindo-se a Aidios na maioria dos casos (nao confirmado linha a linha) — traducao direta, sem ambiguidade esperada.",2026-08-23
Leonhardt,Personagem,,manter_original,low,Loewe,"Enforcer II da Ouroboros ""Bladelord""; usa o apelido ""Loewe"" no corpus. Vinculo Loewe=Leonhardt quarentenado — ver spoiler_ledger.json (loewe_leonhardt). SRC-004/SRC-007.",2026-08-23
Campanella,Personagem,,manter_original,low,,"Enforcer 0 da Ouroboros. SRC-004.",2026-08-23
Aina Holden,Personagem,,manter_original,none,Aina,Recepcionista da Bracer Guild em Rolent. SRC-005.,2026-08-23
Jean,Personagem,,manter_original,none,,Recepcionista da Bracer Guild em Ruan. SRC-005.,2026-08-23
Elnan,Personagem,,manter_original,none,,Recepcionista da Bracer Guild em Grancel. SRC-005.,2026-08-23
Josette Capua,Personagem,,manter_original,low,,Ligada aos Sky Bandits. SRC-003.,2026-08-23
Mueller Vander,Personagem,,manter_original,low,,Major do Exercito Imperial de Erebonia. SRC-003.,2026-08-23
Julia Schwarz,Personagem,,manter_original,low,,Capitã do exercito de Liberl. SRC-003.,2026-08-23
