offset,text_en,byte_budget
STR_DIALOGS_FOREST_F17_D1_LIANDRIS_1,So the order is final?,22
STR_DIALOGS_FOREST_F17_D1_RATATOSK_2,They're not taking any chances. This unknown plague has the higher-ups on edge.,79
STR_DIALOGS_FOREST_F17_D1_LIANDRIS_3,So many souls will be lost.,27
STR_DIALOGS_FOREST_F17_D1_RATATOSK_4,"No, they'll simply meet their fate sooner, as will all of the misfits this planet harbours.",91
STR_DIALOGS_FOREST_F17_D2_LIANDRIS_1,"I understand. That way, they'll kill two birds with one stone.",62
STR_DIALOGS_FOREST_F17_D2_RATATOSK_2,"Questioning something, Liandris?",32
STR_DIALOGS_FOREST_F17_D2_LIANDRIS_3,"No, only that...",16
STR_DIALOGS_FOREST_F17_D3_RATATOSK_1,You've lost a Valkyrie. Nothing like that has ever happened before. They don't want to take any more risks by leaving you here.,127
STR_DIALOGS_FOREST_F17_D3_LIANDRIS_2,What will happen if Yggdrasil is discovered? Planting it was in violation of the agreement.,91
STR_DIALOGS_FOREST_F17_D3_RATATOSK_3,"Once I destroy the tree, there'll be no one left to judge that.",63
STR_DIALOGS_FOREST_F17_D3_LIANDRIS_4,Do what you have to.,20
STR_DIALOGS_FOREST_F17_D3_RATATOSK_5,"Get them away from Terragaya, I'm not going to waste any more time.",67
STR_DIALOGS_FOREST_F17_D4_LIANDRIS_1,"Soldier, do not be afraid, come closer.",39
STR_DIALOGS_FOREST_F17_D5_LIANDRIS_1,It seems that fate wanted you to be here at this moment.,56
STR_DIALOGS_FOREST_F17_D5_LIANDRIS_2,Did you see the creature that just left?,40
STR_DIALOGS_FOREST_F17_D5_LIANDRIS_3,"At the centre of this world, there is a tree that may be familiar to you.",73
STR_DIALOGS_FOREST_F17_D5_LIANDRIS_4,"Yggdrasil. I'm sure that, on your world, you've heard of it or even managed to see it.",86
STR_DIALOGS_FOREST_F17_D5_LIANDRIS_5,"Once planted, Yggdrasil supports the very foundations of the world until it dies, causing an explosion so large, it takes the entire planet with it.",148
STR_DIALOGS_FOREST_F17_D5_LIANDRIS_6,That monster's purpose is to accelerate the process by devouring the tree's roots.,82
STR_DIALOGS_FOREST_F17_D5_LIANDRIS_7,"If you want to save the lives of your friends and everyone else's, you'll have to stop him before he reaches Yggdrasil's roots.",127
STR_DIALOGS_FOREST_F17_D6_LIANDRIS_1,Not so fast. You cannot enter the depths of this world yet. The heat is too great for you to survive.,101
STR_DIALOGS_FOREST_F17_D6_LIANDRIS_2,Find a way to protect yourself against the high temperatures and I will open the temple door for you myself. The entrance is located west of here.,146
STR_DIALOGS_FOREST_F17_D6_LIANDRIS_3,"Hurry, Human! Your time is running out!",39
