offset,text_en,byte_budget
STR_DIALOGS_ZARGA_D1_BRIGARD_1,No...,5
STR_DIALOGS_ZARGA_D2_BRIGARD_1,"Soldier, after everything we've done to get home...",51
STR_DIALOGS_ZARGA_D2_BRIGARD_2,We've lost...,13
STR_DIALOGS_ZARGA_D2_BRIGARD_3,We've lost everything...,24
STR_DIALOGS_ZARGA_D3_LIANDRIS_1,"No, brave warriors. Your world is not yet lost.",47
STR_DIALOGS_ZARGA_D3_LIANDRIS_2,Your mission is to defeat the Infestation.,42
STR_DIALOGS_ZARGA_D3_LIANDRIS_3,Gather all the troops you can and fight until the end.,54
STR_DIALOGS_ZARGA_D3_LIANDRIS_4,You mortals always find the strength. I have seen it thousands of times.,72
STR_DIALOGS_ZARGA_D3_BRIGARD_5,It's true...,12
STR_DIALOGS_ZARGA_D4_BRIGARD_1,They will not break us so easily.,33
STR_DIALOGS_ZARGA_D4_BRIGARD_2,We will not give up without a fight.,36
STR_DIALOGS_ZARGA_D4_BRIGARD_3,They will not be rid of us without first seeing what we are.,60
STR_DIALOGS_ZARGA_D5_BRIGARD_1,WE ARE SOLDIERS!,16
