offset,text_target
STR_DIALOGS_INTERMISSION_1_D1_FREYDIN_1,Liandris...
STR_DIALOGS_INTERMISSION_1_D1_FREYDIN_2,Liandris... responda meu chamado.
STR_DIALOGS_INTERMISSION_1_D2_LIANDRIS_1,"Aqui estou, minha senhora."
STR_DIALOGS_INTERMISSION_1_D2_FREYDIN_2,"Liandris, tomamos conhecimento de seres inusitados surgindo em Terragaya."
STR_DIALOGS_INTERMISSION_1_D2_LIANDRIS_3,Refere-se aos Humanos?
STR_DIALOGS_INTERMISSION_1_D2_FREYDIN_4,"Huma-? Ah... ""Esses"" humanos."
STR_DIALOGS_INTERMISSION_1_D2_FREYDIN_5,"Conheço o fenômeno que os trouxe, mas não nos dizem respeito agora."
STR_DIALOGS_INTERMISSION_1_D2_LIANDRIS_6,"Foram ""isolados"" naquele domo; por isso aparecemos."
STR_DIALOGS_INTERMISSION_1_D2_FREYDIN_7,Não deixei claro? Não me interessam os Humanos. Falo dos outros seres.
STR_DIALOGS_INTERMISSION_1_D2_LIANDRIS_8,...Entendo. Devemos agir?
STR_DIALOGS_INTERMISSION_1_D2_FREYDIN_9,"Não... por enquanto, cautela, mas vigie-os bem."
STR_DIALOGS_INTERMISSION_1_D2_LIANDRIS_10,"Como desejar, minha senhora."
