offset,text_en,byte_budget
STR_DIALOGS_DESERT_AP_D0_BRIGARD_1,I've brought backup!,20
STR_DIALOGS_DESERT_AP_D0_BRIGARD_2,Though I can see it wasn't needed...,36
STR_DIALOGS_DESERT_AP_D0_ADAMONT_3,General Brigard?!,17
STR_DIALOGS_DESERT_AP_D0_ADAMONT_4,"I'm sorry to have worried you, General.",39
STR_DIALOGS_DESERT_AP_D0_BRIGARD_5,Let's go back to the city. You can tell me what's happened there.,65
STR_DIALOGS_DESERT_AP_D1_BRIGARD_1,What the...?,12
STR_DIALOGS_DESERT_AP_D2_GALATH_1,"Is this a mirage?_300_ When my informants told me, I couldn't believe it. The great Brigard himself, in person!",111
STR_DIALOGS_DESERT_AP_D3_BRIGARD_1,Galath?!,8
STR_DIALOGS_DESERT_AP_D3_ADAMONT_2,The Lion of Dadelm?_300_ Here?,30
STR_DIALOGS_DESERT_AP_D3_GALATH_3,So that's why you didn't show up to the battlefield...,54
STR_DIALOGS_DESERT_AP_D3_GALATH_4,"Bahahaha!_300_ My, my... How tragic! You died before you could even set off! What an end for the “unbeatable” Sword of Zarga.",129
STR_DIALOGS_DESERT_AP_D4_BRIGARD_1,The war... is over?! What happened?!,36
STR_DIALOGS_DESERT_AP_D4_GALATH_2,"As far as I'm aware, up until those Valkyries appeared, no. But since you're here, I doubt it'll last much longer._100_ Unfortunately for me, I won't see the fall of Zarga with my own eyes...",191
STR_DIALOGS_DESERT_AP_D4_GALATH_3,That damned friend of yours gifted me an arrow in the back...,61
STR_DIALOGS_DESERT_AP_D4_BRIGARD_4,Riva! If you've hurt her...,27
STR_DIALOGS_DESERT_AP_D4_GALATH_5,"Brigard... It's a war... If she isn't here yet, she will be soon.",65
STR_DIALOGS_DESERT_AP_D4_BRIGARD_6,Tsk...,6
STR_DIALOGS_DESERT_AP_D4_GALATH_7,"The only thing that comforts me is that you fell first. So, what was it that happened to you?",93
STR_DIALOGS_DESERT_AP_D5_BRIGARD_1,...,3
STR_DIALOGS_DESERT_AP_D5_GALATH_2,Wait._100_ Those bodies..._500_ You aren't dead?!,49
STR_DIALOGS_DESERT_AP_D5_GALATH_3,"Damn Brigard! Always trying to be the better one, even in the afterlife. Time to fix this problem.",98
STR_DIALOGS_DESERT_AP_D5_BRIGARD_4,"Wait, Galath. There's no need for fighting. We're all searching for the same thing.",83
STR_DIALOGS_DESERT_AP_D6_GALATH_1,"What I'm searching for is right in front of me. This moment was snatched away from me in battle, but don't think I plan on wasting a second chance.",147
STR_DIALOGS_DESERT_AP_D7_GALATH_1,Soldiers!_200_ Attack!,22
STR_DIALOGS_DESERT_AP_D8_ADAMONT_1,General Brigard!,16
STR_DIALOGS_DESERT_AP_D8_BRIGARD_2,"Stay back, Adamont. We will handle this.",40
STR_DIALOGS_DESERT_AP_D9_GALATH_1,Enough!,7
STR_DIALOGS_DESERT_AP_D9_GALATH_2,"So it's true what they say about the energy this world holds. Winning this battle means nothing, Brigard.",105
STR_DIALOGS_DESERT_AP_D9_GALATH_3,"Fall back, soldiers!_100_ Best keep your eyes peeled, I won't abandon my prey so easily.",88
STR_DIALOGS_DESERT_AP_D9_BRIGARD_4,...,3
STR_DIALOGS_DESERT_AP_D10_ADAMONT_1,Dadelm's General is dead._100_ Perhaps all is not lost after all.,65
STR_DIALOGS_DESERT_AP_D10_BRIGARD_2,"I don't know, Adamont. Zarga's forces have been practically halved. Even if Galath has fallen, winning this war will not be easy for them.",138
STR_DIALOGS_DESERT_AP_D11_BRIGARD_1,"(Please, Riva... Survive)",25
STR_DIALOGS_DESERT_AP_D12_BRIGARD_1,We shall speak at the citadel and think of something.,53
STR_DIALOGS_DESERT_AP_D12_BRIGARD_2,"Well done, soldier!",19
STR_DIALOGS_DESERT_AP_D12_BRIGARD_3,We're leaving.,14
STR_DIALOGS_DESERT_AP_D12_ADAMONT_4,"Yes, General!",13
STR_DIALOGS_DESERT_AP_D13_ADAMONT_1,You heard the General!_100_  Fall behind and I'll kick you there myself. March!,79
