offset,text_en,byte_budget
STR_DIALOGS_EDIL_AC_INTRO_1_1,"I'm sorry you ended up here; it doesn't seem like it's your time yet. I mean, if you looked 400 years old like Jivan, I'd understand, but...",140
STR_DIALOGS_EDIL_AC_INTRO_1_2,"Edil, I'm right here.",21
STR_DIALOGS_EDIL_AC_INTRO_1_3,"(And even if you weren't, you could hear me even inside the house).",67
STR_DIALOGS_EDIL_AC_INTRO_1_4,...,3
STR_DIALOGS_EDIL_AC_INTRO_1_5,"As I was saying, I know it can be a bit sad at first, but you get used to it in the end. Jivan became my family and, even though he's a grouchy old hermit, I've never felt alone ever since he took me in.",203
STR_DIALOGS_EDIL_AC_INTRO_1_6,"You could say that I owe him my life, or my second life, that is...",67
STR_DIALOGS_EDIL_AC_INTRO_1_7,"I can't lie to you. I love it when adventurers like you come to Hafin. Do you know how many times I've imagined myself traveling around Terragaya in armour like that, facing danger?!",182
STR_DIALOGS_EDIL_AC_INTRO_1_8,Jivan is too protective of me. He doesn't let me set foot outside the city. It'll be hard for me to convince him that I can defend myself.,138
STR_DIALOGS_EDIL_AC_INTRO_1_9,But I won't bore you with my problems. Stop by every once in a while. I look forward to hearing all about your adventures!,122
STR_DIALOGS_EDIL_AC_INTRO_2_1,Stop by every once in a while. I look forward to hearing all about your adventures!,83
