offset,text_en,byte_budget
STR_DIALOGS_TOWN_AP_D3_JIVAN_1,"Thank you, I knew I could count on you for this request.",56
STR_DIALOGS_TOWN_AP_D3_JIVAN_2,You cannot imagine the value these flowers hold.,48
STR_DIALOGS_TOWN_AP_D3_JIVAN_3,"Their curative properties are beyond imaginable, but preparing the flowers will be a complicated process. I will need need harness every ounce of focus I can.",158
STR_DIALOGS_TOWN_AP_D3_JIVAN_4,I will try to let you know when everything is ready.,52
STR_DIALOGS_TOWN_AP_D1_CROMAMINION_1,"Strength, Human... I'm sorry, I believe you usually say “greetings”.",72
STR_DIALOGS_TOWN_AP_D1_CROMAMINION_2,"I have a favour to ask you. I know you have no reason to trust me, but I can assure you that I hold no ill intentions.",118
STR_DIALOGS_TOWN_AP_D1_CROMAMINION_3,I just need you to come with me and listen to our Commander's request.,70
STR_DIALOGS_TOWN_AP_D1_CROMAMINION_4,"Don't worry, it's not a long journey. We're based in the outskirts of the city. After listening, you can decide whether or not to go but, right now, you're our only hope.",170
STR_DIALOGS_TOWN_AP_D2_CROMAMINION_1,"Commander Beliagar. As I expected, the Human has agreed to listen to us.",72
STR_DIALOGS_TOWN_AP_D2_CROMAMINION_2,"Greetings, hormone.",19
STR_DIALOGS_TOWN_AP_D1_CROMACHIEF_1,"Greetings, Human. We've called you here because our friend noticed the great courage you showed in defending the city from the invasion of the dark rain.",153
STR_DIALOGS_TOWN_AP_D1_CROMACHIEF_2,"There is much to tell and little time to act, so I'll try to be brief.",70
STR_DIALOGS_TOWN_AP_D1_CROMACHIEF_3,"Certain motives brought us to this world. We believe that travelling here by our own means violates the rules that govern this place, which is why we keep our distance from the city's affairs. We still don't know how all of this works.",235
STR_DIALOGS_TOWN_AP_D1_CROMACHIEF_4,"Our Floating Module is located at a considerable altitude, just above a dense layer of clouds that seem to stay completely still.",129
STR_DIALOGS_TOWN_AP_D1_CROMACHIEF_5,"When we arrived, we came down in our shuttle to begin our research. I'm afraid I can't tell you its purpose but, unexpectedly, an enemy took advantage of the fact that most of our troops were here on the ground and boarded our module. They seem to be airborne pirates that have taken an interest in our technology.",314
STR_DIALOGS_TOWN_AP_D1_CROMACHIEF_6,These pirates knew what they were doing. They cut the links that would allow us to get back and took the crew who remained inside as prisoners.,143
STR_DIALOGS_TOWN_AP_D1_CROMACHIEF_7,"I'll be honest with you, defending the city is not what has led us to seek you out, but rather the artifacts you use. Those... orbs.",132
STR_DIALOGS_TOWN_AP_D1_CROMACHIEF_8,"During our time here, a certain trader managed to provide us with an orb that would supposedly help us. This orb can release enormous amounts of energy that would reactivate our transport systems. Unfortunately, the orb was inactive and we're unable to use it.",260
STR_DIALOGS_TOWN_AP_D1_CROMACHIEF_9,"We think you may be able to awaken it, as you seem to be quite familiar with them. Would you mind holding it, please?",117
STR_DIALOGS_TOWN_AP_D3_CROMACHIEF_1,It's not working...,19
STR_DIALOGS_TOWN_AP_D3_CROMACHIEF_2,"We suspected this would happen. After all, these artifacts are entirely new to us.",82
STR_DIALOGS_TOWN_AP_D3_CROMACHIEF_3,"I'm sorry to overwhelm you, Human, but do you believe you could find a way to activate it? Magic is something that escapes our understanding, but we are aware that there are beings in the city who do possess such knowledge.",223
STR_DIALOGS_TOWN_AP_D3_CROMACHIEF_4,"Unfortunately, we're not exactly adept at dealing with Hafin's inhabitants. Most of them seem to fear us... Do you think you could find someone with magical abilities that could awaken its power?",195
STR_DIALOGS_TOWN_AP_D3_CROMACHIEF_5,"Think about it, Human... You may keep the orb until you return. It's not particularly useful to us in its current state. We'll be here if you make progress.",156
