offset,text_en,byte_budget
STR_DIALOGS_QS_SIRFIEL_FAIRY_TIER1_PART1_1,Huh?,4
STR_DIALOGS_QS_SIRFIEL_FAIRY_TIER1_PART1_2,"Soldier, don't tell me you're late for training.",48
STR_DIALOGS_QS_SIRFIEL_FAIRY_TIER1_PART1_3,I just gave the speech to the others and thought that I could finally get back to reading these huge tomes.,107
STR_DIALOGS_QS_SIRFIEL_FAIRY_TIER1_PART1_4,"Alright, alright. I'll give you a summary, but you will need to focus. I suppose my reading will have to wait.",110
STR_DIALOGS_QS_SIRFIEL_FAIRY_TIER1_PART1_5,"As you will have noticed, this world is rich in all kinds of materials, beings and other types of magical elements.",115
STR_DIALOGS_QS_SIRFIEL_FAIRY_TIER1_PART1_6,General Brigard has allowed me to put all this knowledge to use so that we may better support our ranks.,104
STR_DIALOGS_QS_SIRFIEL_FAIRY_TIER1_PART1_7,"So I have permission to treat you all like my guinea pigs. Heh, heh, heh.",73
STR_DIALOGS_QS_SIRFIEL_FAIRY_TIER1_PART1_8,Apparently this world hosts little creatures known as <color=OBJ>Bygul</color>.,79
STR_DIALOGS_QS_SIRFIEL_FAIRY_TIER1_PART1_9,"Generally, they are nothing special, but these writings talk of a bygul variant with a radiant green hue.",105
STR_DIALOGS_QS_SIRFIEL_FAIRY_TIER1_PART1_10,"These are the ones that interest us. In theory, their healing abilities could be of great use.",94
STR_DIALOGS_QS_SIRFIEL_FAIRY_TIER1_PART1_11,So keep an eye out on missions and bring them here if you find any.,67
STR_DIALOGS_QS_SIRFIEL_FAIRY_TIER1_PART1_12,"I think that, for our first experiment, <color=OBJ>fifteen Radiant Bygul</color> will do.",89
STR_DIALOGS_QS_SIRFIEL_FAIRY_TIER1_PART1_13,Is that clear? I thought so.,28
STR_DIALOGS_QS_SIRFIEL_FAIRY_TIER1_PART1_14,"Return when you've found what we need. Now, I would appreciate some silence. This is a library, after all.",106
