offset,text_en,byte_budget
CH1_CREW_TEXT_01,I can't believe we're finally doing this!,41
CH1_CREW_TEXT_02,You can't keep a sea wolf on land for too long!,47
CH1_CREW_TEXT_03,I can't wait to see where this adventure takes us!,50
CH1_CREW_TEXT_04,"Boy, did I miss this boat!",26
CH1_CREW_TEXT_05,This reminds me of the good old times...,40
CH1_CREW_TEXT_06,"I'm so happy to be sailing again! Big adventure, here we come!",62
CH1_CREW_TEXT_07,I remember the first time I set foot on this deck...,52
CH1_CREW_TEXT_08,"A cruise around the world, anyone?",34
CH1_CREW_TEXT_09,"This reminds me of ""The Old Man and The Sea."" But hey, I'm not that old now, am I?",82
CH1_CREW_TEXT_10,"Off to the unexplored seas, my friends!",39
