offset,text_en,byte_budget
STR_DIALOGS_PLAINS3_DV_D1_SANGRIGOR_1,"Come on, soldier... Don't make this difficult.",46
STR_DIALOGS_PLAINS3_DV_D1_SANGRIGOR_2,How can you defy your own general? Are you no longer part of that army you so strive to save?,93
STR_DIALOGS_PLAINS3_DV_D1_SANGRIGOR_3,"As you wish, I'll do myself. Be still while I free you of this suffering.",73
STR_DIALOGS_PLAINS3_DV_D2_SANGRIGOR_1,Tsk...,6
STR_DIALOGS_PLAINS3_DV_D2_SANGRIGOR_2,"You're more resistant than the rest but, for me, you're no more than a worm trying to escape an apple.",102
STR_DIALOGS_PLAINS3_DV_D2_SANGRIGOR_3,This ends now.,14
STR_DIALOGS_PLAINS3_DV_D3_SANGRIGOR_1,Liandris!,9
STR_DIALOGS_PLAINS3_DV_D3_SANGRIGOR_2,"Liandris, help me to trap that soldier. His strength threatens our plans.",73
STR_DIALOGS_PLAINS3_DV_D3_LIANDRIS_3,Sangrigor? What are you talking about? What are you doing?,58
STR_DIALOGS_PLAINS3_DV_D3_SANGRIGOR_4,We must spread the Dark Plague to every corner of this world. That is our purpose.,82
STR_DIALOGS_PLAINS3_DV_D3_LIANDRIS_5,"Sangrigor, that's not you talking, it's one of the parasites.",61
STR_DIALOGS_PLAINS3_DV_D3_LIANDRIS_6,Listen to me closely.,21
STR_DIALOGS_PLAINS3_DV_D3_SANGRIGOR_7,"I see... You don't understand anything either, just like the others.",68
STR_DIALOGS_PLAINS3_DV_D3_LIANDRIS_8,What...?,8
STR_DIALOGS_PLAINS3_DV_D3_SANGRIGOR_9,You think it's a parasite that's controlling me?_300_ That I'm doing this because I'm a puppet?,95
STR_DIALOGS_PLAINS3_DV_D3_SANGRIGOR_10,Ahahaha! You are funny...,25
STR_DIALOGS_PLAINS3_DV_D4_LIANDRIS_1,The parasite...,15
STR_DIALOGS_PLAINS3_DV_D4_SANGRIGOR_2,"Quickly, Liandris! Take it! He will show you the truth! Do it!",62
STR_DIALOGS_PLAINS3_DV_D4_LIANDRIS_3,You have gone too far. I can no longer ask for mercy on you.,60
STR_DIALOGS_PLAINS3_DV_D4_SANGRIGOR_4,"I thought you would listen to me, but I won't give up until I break your chains.",80
STR_DIALOGS_PLAINS3_DV_D4_SANGRIGOR_5,I'll be back for all of you.,28
STR_DIALOGS_PLAINS3_DV_D5_LIANDRIS_1,Sangrigor!,10
STR_DIALOGS_PLAINS3_DV_D6_HAFINSOLDIER_1,Ah! There you are!,18
STR_DIALOGS_PLAINS3_DV_D6_HAFINSOLDIER_2,By the Gods! What on Terragaya has happened here?,49
STR_DIALOGS_PLAINS3_DV_D6_HAFINSOLDIER_3,Are they victims of the infection?,34
STR_DIALOGS_PLAINS3_DV_D6_HAFINSOLDIER_4,"Quick, soldier, we must get back to Hafin. Jivan is preparing the final stages of his curative spell.  Let's take them to him.",126
STR_DIALOGS_PLAINS3_DV_D7_SANGRIGOR_1,Not so fast!,12
