offset,text_en,byte_budget
SIDE_DIALOG_WIN_1,"Cracking job, sailor!",21
SIDE_DIALOG_WIN_2,You rock like a sea rock!,25
SIDE_DIALOG_WIN_3,Wow! That was one explosive finale right there!,47
SIDE_DIALOG_WIN_4,"Thank you, #username#! You did a smashing job!",46
SIDE_DIALOG_WIN_5,Did I mention I think you're amazing?,37
SIDE_DIALOG_WIN_6,"Oh boy, that #username# has mojo!",33
SIDE_DIALOG_WIN_7,"Infallibly done, #username#!",28
SIDE_DIALOG_WIN_8,"Thumbs up, my friend!",21
SIDE_DIALOG_WIN_9,"Kudos to you, #username#!",25
SIDE_DIALOG_WIN_10,"You do know how to scare them seagulls, don't you?",50
SIDE_DIALOG_WIN_11,Booya! Where did you learn to explode bombs like that?,54
SIDE_DIALOG_WIN_12,Three cheers for our brave #username#!,38
SIDE_DIALOG_WIN_13,"How did you get so good at this, #username#?",44
SIDE_DIALOG_WIN_14,Attaboy! That was one polished performance!,43
SIDE_DIALOG_WIN_15,"Fantastic job, #username#!",26
SIDE_DIALOG_WIN_16,"My, my, I'm impressed!",22
SIDE_DIALOG_WIN_17,This was one first-class performance!,37
SIDE_DIALOG_WIN_18,I take off my sailor's hat to someone like you!,47
SIDE_DIALOG_WIN_19,"Great to have you on the team, #username#!",42
SIDE_DIALOG_WIN_20,"I just cannot thank you enough, #username#!",43
SIDE_DIALOG_WIN_21,All right! That's just what the doctor ordered!,47
SIDE_DIALOG_WIN_22,Hooray! Let's hear it for #username#!,37
SIDE_DIALOG_WIN_23,"Professional as usual! You nailed it, #username#!",49
SIDE_DIALOG_WIN_24,Tremendous job! You deserve a pat on the back!,46
