offset,text_en,byte_budget
STR_DIALOGS_QS_BALOF_VIMANA_GEARS_PART1_1,"Hey, I wanted to ask 'ya something.",35
STR_DIALOGS_QS_BALOF_VIMANA_GEARS_PART1_2,Do 'ya think these glasses make me look short-sighted?,54
STR_DIALOGS_QS_BALOF_VIMANA_GEARS_PART1_3,"Heheh... Well, it's quite the opposite. These glasses let me detect all the random junk I come across when I'm out searching.",125
STR_DIALOGS_QS_BALOF_VIMANA_GEARS_PART1_4,You know where I'm going with this...,37
STR_DIALOGS_QS_BALOF_VIMANA_GEARS_PART1_5,That aero... whatever it is up there in the clouds hasn't exactly escaped my attention.,87
STR_DIALOGS_QS_BALOF_VIMANA_GEARS_PART1_6,"There are tales about the Croma that talk about this sorta structure, but this is the first time I've been able to see with my own eyes that they exist.",152
STR_DIALOGS_QS_BALOF_VIMANA_GEARS_PART1_7,"You don't know what that means for someone like me. Croma technology is known across Terragaya, but it's impossible to use here, as vimana minerals aren't naturally occuring in this world.",188
STR_DIALOGS_QS_BALOF_VIMANA_GEARS_PART1_8,Which means that machine comes from a different one.,52
STR_DIALOGS_QS_BALOF_VIMANA_GEARS_PART1_9,"I'm right, aren't I? Don't worry, I don't plan on telling anyone.",65
STR_DIALOGS_QS_BALOF_VIMANA_GEARS_PART1_10,But... I would like to ask a mega favour from a mega friend who really admires you.,83
STR_DIALOGS_QS_BALOF_VIMANA_GEARS_PART1_11,Could you bring me a few parts from that flying thingamajig? <color=OBJ>Twenty Vimana Cogs</color> should be enough. You have no idea how interested I am in taking a good look at that sorta technology.,201
STR_DIALOGS_QS_BALOF_VIMANA_GEARS_PART1_12,"It's so exciting to be able to speak with someone who's been up there. Plus, it's you!",86
STR_DIALOGS_QS_BALOF_VIMANA_GEARS_PART1_13,"If you do me this teensy little favour, I'll give you a special item that's only for VIP customers like you.",108
STR_DIALOGS_QS_BALOF_VIMANA_GEARS_PART1_14,I'll be waiting!,16
