offset,text_en,byte_budget
STR_DIALOGS_DRAGONSCASTLE_DC01_D1_GALATH_1,You...,6
STR_DIALOGS_DRAGONSCASTLE_DC01_D1_GALATH_2,"You were with Brigard on the day we met in the desert, weren't you?",67
STR_DIALOGS_DRAGONSCASTLE_DC01_D2_GALATH_1,Soldiers of Zarga... I've always detested the way you act.,58
STR_DIALOGS_DRAGONSCASTLE_DC01_D2_GALATH_2,Your little speeches about justice and peace...,47
STR_DIALOGS_DRAGONSCASTLE_DC01_D2_GALATH_3,"You think you're all above everyone else, without realising that you're nothing more than pawns following orders, just like any other soldier.",142
STR_DIALOGS_DRAGONSCASTLE_DC01_D2_GALATH_4,"Even here you still go by what you think is fair, without asking yourselves if maybe you deserved to end up this way.",117
STR_DIALOGS_DRAGONSCASTLE_DC01_D2_GALATH_5,"I, however, will always go by what I want to do. You're no better than me...",76
STR_DIALOGS_DRAGONSCASTLE_DC01_D3_GALATH_1,"I was hoping to find Brigard, but I suppose a trusted soldier of his will do while he's on his way.",99
STR_DIALOGS_DRAGONSCASTLE_DC01_D3_GALATH_2,"It's nothing personal, soldier.",31
STR_DIALOGS_DRAGONSCASTLE_DC01_D4_GALATH_1,Gh...,5
STR_DIALOGS_DRAGONSCASTLE_DC01_D4_GALATH_2,How is this possible? How do you have so much power?,52
STR_DIALOGS_DRAGONSCASTLE_DC01_D4_GALATH_3,Have you really exploited this world that much?,47
STR_DIALOGS_DRAGONSCASTLE_DC01_D4_GALATH_4,"If you're not going to finish me, go. I don't need your pity.",61
STR_DIALOGS_DRAGONSCASTLE_DC01_D4_GALATH_5,Get out of here.,16
