offset,text_source,byte_budget
0xb3196,"Somehow, even more bodies pack the market street\n",50
0xb31c9,"than usual, making it nigh-untraversable.",41
0xb31f3,Yeesh. Isn't this a bigger crowd than usual?\n,46
0xb3222,I'm having trouble walking through all this...,46
0xb3251,"Are you OK, Rulutieh?",21
0xb3267,"Yes, I'm... I'm all ri--O-Oh, sorry, excuse me--",48
0xb3298,"The streets are always like this, this time of\n",48
0xb32c9,year.,5
0xb32cf,Is something big happening?,27
0xb32eb,Yes. Look there--they appear to have just\n,43
0xb3317,arrived.,8
0xb3320,"Nekone points down the road, indicating a\n",43
0xb334c,"colorful, garish procession parading toward\n",45
0xb337a,us.,3
0xb337e,...What is that?,16
0xb338f,"A large, embellished cart, inlaid with gold and\n",49
0xb33c1,"silver filigree, leads a caravan of others like it.",51
0xb33f5,The capital will be playing host to a number of\n,49
0xb3427,owlos and their families as the nativity nears.,47
0xb3457,Each will pledge their loyalty to the imperial\n,48
0xb3488,"princess, who someday will take the Mikado's\n",46
0xb34b7,throne.,7
0xb34bf,"Hm. So, kids from well-to-do families are\n",43
0xb34eb,coming to the capital for that...,33
0xb350d,Awful lot of trouble to go through just to bow\n,48
0xb353e,to someone and head home.,25
0xb3558,"A truth I do not deny, but it would probably\n",46
0xb3587,be best to keep that kind of comment to\n,41
0xb35b1,yourself.,9
0xb35bb,Oh?,3
0xb35bf,Not everyone shares in the temperament of my\n,46
0xb35ee,dear br--of Lord Oshtor.,24
0xb3607,Her Highness Princess Anju is the only heir\n,45
0xb3635,to the Mikado. A true Divine Scion--\n,38
0xb365c,the blood of the God Incarnate himself.,39
0xb3684,"A great many people in the capital--no, all in\n",48
0xb36b5,"Yamato, have devoted their very lives to her\n",46
0xb36e4,name.,5
0xb36ea,"Lord Oshtor may let your japes pass, but if\n",45
0xb3718,such remarks fall on less tolerant ears...,42
0xb3743,"You may find yourself vanishing one day, you\n",46
0xb3772,understand.,11
0xb377e,I-I see...,10
0xb3789,"Nekone's matter-of-fact tone is unnerving, but\n",48
0xb37ba,she's stating fact--she's not trying to\n,41
0xb37e4,intimidate me.,14
0xb37f3,That's... unexpected.,21
0xb3809,What is?,8
0xb3812,"That you'd show actual concern for me, for\n",44
0xb383f,once.,5
0xb3845,It would have a negative impact on my mental\n,46
0xb3874,health if an acquaintance just disappeared.\n,45
0xb38a2,I get bad dreams.,17
0xb38b4,Is that so?,11
0xb38c0,"So it... wasn't actually a threat, or...?",41
0xb38ea,"Besides, the nativity festival is far from the\n",48
0xb391b,only reason they have come.,27
0xb3937,"The festival aside, influential families typically\n",52
0xb396c,send their heirs to the city around this time.,46
0xb399b,"Once they arrive, they will spend years studying\n",50
0xb39ce,"here, acquiring the skills needed for rule.",43
0xb39fa,Some apprentice themselves to the greatest\n,44
0xb3a27,"scholars in the empire, devoting themselves\n",45
0xb3a55,to academia...,14
0xb3a64,Others who excel in the arts of war can also\n,46
0xb3a93,find mentors among the famed masters of the\n,45
0xb3ac1,capital.,8
0xb3aca,Is that all true...? Amazing...,31
0xb3aea,"Um... You, ah. You are one of those heirs\n",43
0xb3b16,"yourself, Lady Rulutieh.",24
0xb3b2f,Eh?,3
0xb3b33,Rulutieh exclaims in surprise.,30
0xb3b52,"Were you, um... unaware?",24
0xb3b6b,I-I was only told... to deliver my country's\n,46
0xb3b9a,"tribute... t-to the Mikado, as a\n",34
0xb3bbd,representative...,17
0xb3bcf,Your father might've kept the true reason for\n,47
0xb3bff,your visit a secret. To keep your anxiety at\n,46
0xb3c2e,"bay, maybe?",11
0xb3c3a,Oh...,5
0xb3c40,"Now that she mentions it, that feels like it's\n",48
0xb3c71,probably the case.,18
0xb3c84,I only say so because your father sounds like\n,47
0xb3cb4,"he loves you quite a lot, Rulutieh.",35
0xb3cdc,"This whole thing is thought out pretty well,\n",46
0xb3d0b,though.,7
0xb3d13,This power structure. Making the capital the\n,46
0xb3d42,center of learning for noble scions instills\n,46
0xb3d71,loyalty.,8
0xb3d7a,Early exposure to its power quells any seeds\n,46
0xb3da9,"of defiance, and noble coin stimulates the\n",44
0xb3dd6,local economy.,14
0xb3de5,And those are just the advantages I can think\n,47
0xb3e15,of right now. I'm sure there are more.,38
0xb3e3c,"Just as I expected of you, dear sister.\n",41
0xb3e66,You grasped the implications quickly.,37
0xb3e8c,"Nekone smiles proudly, glancing back at me.",43
0xb3eb8,What's with that smug look?,27
0xb3ed4,"I realized as much too, y'know.",31
0xb3ef4,"It's clever. At any time, the capital can keep\n",48
0xb3f25,its vassals in check by holding the kids\n,42
0xb3f50,hostage.,8
0xb3f59,Uh...,5
0xb3f5f,Hm?,3
0xb3f63,I was... deliberately not mentioning that part.,47
0xb3f93,Kuon sighs deeply for some reason.,34
0xb3fb6,Hrm...,6
0xb3fbd,...Huh.,7
0xb3fc5,"Oh--N-No, that was just--\n",27
0xb3fe1,I didn't mean--,15
0xb3ff1,"No, I... I don't mind, so... Please don't worry\n",49
0xb4023,about me...,11
0xb402f,"Urgh, now I've just made her worry about me,\n",46
0xb405e,instead.,8
0xb4067,"As our conversation carries on, the procession\n",48
0xb4098,passes by our group...,22
0xb40af,"Man, what a flashy display, though.\n",37
0xb40d5,"Between the gaudy clothes, the singing, the\n",45
0xb4103,dancing...,10
0xb410e,It's like a festival all unto itself.,37
0xb4134,Way different than when we arrived with\n,41
0xb415e,"Rulutieh, that's for sure.",26
0xb4179,Rulutieh seems to be in the same class as these\n,49
0xb41ab,"guys, but she's... really plain compared to\n",45
0xb41d9,them.,5
0xb41df,"Then again, I'd be at a total loss if she told\n",48
0xb4210,me to dress like that and put on a dance number\n,49
0xb4242,for her.,8
0xb424b,Savvy families often flaunt their wealth like\n,47
0xb427b,"this to project power. It is to be expected,\n",46
0xb42aa,really.,7
0xb42b2,That festivals and celebrations are so popular\n,48
