offset,text_en,byte_budget
STR_DIALOGS_EDIL_ASL_QS_OUTRO_1_1,You found it!,13
STR_DIALOGS_EDIL_ASL_QS_OUTRO_1_2,"It's a bit grubby, but it'll be my first sword! I love it!",58
STR_DIALOGS_EDIL_ASL_QS_OUTRO_1_3,"Thanks, soldier. Here's your mercenary fee.",43
STR_DIALOGS_EDIL_ASL_QS_OUTRO_1_4,Hey! Don't even think about treating me like a little girl and take my money!,77
STR_DIALOGS_EDIL_ASL_QS_OUTRO_1_5,"Now we're truly ready to face danger, aren't we? Ahaha.",55
STR_DIALOGS_EDIL_ASL_QS_OUTRO_1_6,Heheheh. No one stands a chance against us!,43
STR_DIALOGS_EDIL_ASL_QS_OUTRO_2_1,You found it!,13
STR_DIALOGS_EDIL_ASL_QS_OUTRO_2_2,"It's a bit grubby, but it'll be my first sword! I love it!",58
STR_DIALOGS_EDIL_ASL_QS_OUTRO_2_3,"Once I master it, we could be a vigilante duo, eh?",50
STR_DIALOGS_EDIL_ASL_QS_OUTRO_2_4,"Thanks, soldier. Here's your mercenary fee.",43
STR_DIALOGS_EDIL_ASL_QS_OUTRO_2_5,Hey! Don't even think about treating me like a little girl and take my money!,77
