offset,text_en,byte_budget
STR_DIALOGS1_5_D1_ADAMONT_1,"Alright there, lad? Aren't you a bit far from the citadel?_100_ We're in charge of covering this area._100_ We've been tasked with exploring the western lands._100_ From the looks of it, we could be close to the person we're looking for.",237
STR_DIALOGS1_5_D1_ADAMONT_2,"You know, that wizard..._300_ king..._300_ or whatever he is.",61
STR_DIALOGS1_5_D1_ADAMONT_3,You say Brigard sent you?,25
STR_DIALOGS1_5_D1_ADAMONT_4,...,3
STR_DIALOGS1_5_D1_ADAMONT_5,"AAH! WE'VE BEEN LOITERING HERE FAR TOO LONG!_500_
ATTENTION, SOLIDERS! BRIGARD IS COUNTING ON US!",97
STR_DIALOGS1_5_D1_ADAMONT_6,Last one there goes without dinner tonight!,43
STR_DIALOGS1_5_D0_IRONCLAD_1,"But, Captain Adamont..._100_ The sand there is far too soft and our armour's very heavy.",88
STR_DIALOGS1_5_D0_IRONCLAD_2,"Sorry, Captain, I spoke without thinking.",41
STR_DIALOGS1_5_D0_ADAMONT_2,You lot are starting to look softer than that sand.,51
STR_DIALOGS1_5_D0_ADAMONT_3,That's exactly why I asked them to send us here._100_ These are the sort of challenges that make us stronger!,109
