offset,text_target
STR_DIALOGS_CAVE_23_D1_BALOF_1,Obrigado!!!_100_ Não é incrível como você não consegue nem fechar os olhos um segundo nessa caverna infestada de monstros?
STR_DIALOGS_CAVE_23_D1_BALOF_2,Pisca os olhos e já tá pendurado como um presunto.
STR_DIALOGS_CAVE_23_D2_BALOF_1,"Ah, a propósito, sou o <color=CHA>Balof</color>,_100_ mercador e amigo de quem me salva, e aí chegamos em você._100_ Não sei como agradecer por me tirar do menu daquelas aranhas."
STR_DIALOGS_CAVE_23_D2_BALOF_2,Espera aí..._300_ Achei! Só um segundo...
STR_DIALOGS_CAVE_23_D3_BALOF_1,Ué..._500_ Aquele deslizamento estava ali há um minuto?_500_ Deixa pra lá.
STR_DIALOGS_CAVE_23_D4_BALOF_1,"Sei que não é exatamente um anel mágico, mas já que chegou até aqui, acho que vai gostar."
STR_DIALOGS_CAVE_23_D5_BALOF_1,Por que você não tenta usar um pra sair daqui comigo?
STR_DIALOGS_CAVE_23_D5_BALOF_2,Um conselhinho:_100_ tenta não estar por perto quando elas explodem._100_ Não queria perder meu novo melhor amigo tão rápido.
STR_DIALOGS_CAVE_23_D6_BALOF_1,"Livrrrre!_300_ Tô indo... Ah, aliás!_100_ Se você quiser explorar quando sair daqui,_100_ a leste dessas cavernas você acha <color=LOC>Hafin City</color>."
STR_DIALOGS_CAVE_23_D6_BALOF_2,"Vem me procurar!_100_ Apresento minha família e dou algo pra ajudar na sua jornada incrível._100_ Porque você embarcou numa jornada incrível,_100_ não é verdade?"
STR_DIALOGS_CAVE_23_D6_BALOF_3,"Enfim, tô saindo daqui."
