offset,text_en,byte_budget
STR_DIALOGS_EUDER_AAF_QS_D1_EUDER_1,What? You were already here?,28
STR_DIALOGS_EUDER_AAF_QS_D1_EUDER_2,...,3
STR_DIALOGS_EUDER_AAF_QS_D1_EUDER_3,Meh... I knew that.,19
STR_DIALOGS_EUDER_AAF_QS_D1_EUDER_4,But how could you think I was dead? I thought we were buddies.,62
STR_DIALOGS_EUDER_AAF_QS_D1_EUDER_5,"It's not good leaving a captain to fend for himself, and less so if he's as charming as I am.",93
STR_DIALOGS_EUDER_AAF_QS_D1_EUDER_6,"Look, if you want me to give you this, you'll need to entertain me, and I'm not easy to entertain.",98
STR_DIALOGS_EUDER_AAF_QS_D1_EUDER_7,What do you need to do? Isn't it obvious? You know they call me the fastest captain in Zarga.,93
STR_DIALOGS_EUDER_AAF_QS_D1_EUDER_8,You're gonna have to beat my record in &.,41
STR_DIALOGS_EUDER_AAF_QS_D1_EUDER_9,"Plus, if you manage to do it, I'll give you one of my spawn lances. A masterpiece of engineering!",97
STR_DIALOGS_EUDER_AAF_QS_D1_EUDER_10,Whaddya say? Do you have what it takes to beat the great Euder?,63
STR_DIALOGS_EUDER_AAF_QS_D2_EUDER_1,Can you hear me?!,17
STR_DIALOGS_EUDER_AAF_QS_D2_EUDER_2,"Remember, you need to go round the entire circuit in less than & minutes!",73
STR_DIALOGS_EUDER_AAF_QS_D3_EUDER_1,"Yee-haw! That was surprising, even to me! I am literally speechless.",68
STR_DIALOGS_EUDER_AAF_QS_D3_EUDER_2,"Alright, get your breath back and we'll return to the city for your reward.",75
STR_DIALOGS_EUDER_AAF_QS_D4_EUDER_1,"Well, well... Don't worry, not everyone has the guts for this. I'm sure you're good at other things, like... walking without falling over, for example.",151
STR_DIALOGS_EUDER_AAF_QS_D4_EUDER_2,Should we try again?,20
STR_DIALOGS_EUDER_AAF_QS_D5_EUDER_1,"Soldier, you've raced amazingly, but I've thought about it a little harder... I'm not going to give you my spawn lances.",120
STR_DIALOGS_EUDER_AAF_QS_D5_EUDER_2,Seeing you run has lit the fire within me.,42
STR_DIALOGS_EUDER_AAF_QS_D5_EUDER_3,"If you want one of my lance, you'll need to beat me in a head-to-head race.",75
STR_DIALOGS_EUDER_AAF_QS_D5_EUDER_4,Irka needs to shake his fear of running after that fall. I can't think of a better excuse than competing against you.,117
STR_DIALOGS_EUDER_AAF_QS_D5_EUDER_5,Whaddya say?,12
STR_DIALOGS_EUDER_AAF_QS_D6_EUDER_1,"Even though Irka's injured, he's still the fastest horse in Zarga, so don't let your confidence get the better of you and give it your all.",139
STR_DIALOGS_EUDER_AAF_QS_D6_EUDER_2,Let's go!,9
STR_DIALOGS_EUDER_AAF_QS_D7_EUDER_1,But... how?,11
STR_DIALOGS_EUDER_AAF_QS_D7_EUDER_2,No one can run that much. You've tricked me!,44
STR_DIALOGS_EUDER_AAF_QS_D7_EUDER_3,"Alriiiight... I didn't say anything about Irka using his wings, so...",69
STR_DIALOGS_EUDER_AAF_QS_D7_EUDER_4,"You're a resourceful soldier, aren't you? Alright, let's head back to the city.",79
STR_DIALOGS_EUDER_AAF_QS_D7_EUDER_5,This time without cheating.,27
STR_DIALOGS_EUDER_AAF_QS_D8_EUDER_1,What did you expect? Irka is a winged horse.,44
STR_DIALOGS_EUDER_AAF_QS_D8_EUDER_2,You've still got a way to go before you can beat that. Or do you wanna bite the dust again?,91
STR_DIALOGS_EUDER_AAF_QS_D9_EUDER_1,Congratulations! Luckily there was no one nearby to see my performance. You're the fastest.,91
STR_DIALOGS_EUDER_AAF_QS_D9_EUDER_2,A promise is a promise. Use them to beat one of those monsters and see what happens. Who needs magic when you can invent things like this?,138
STR_DIALOGS_EUDER_AAF_QS_D9_EUDER_3,The Human mind is the real magic.,33
