offset,text_target
STR_DIALOGS_TOWN_AP_D3_JIVAN_1,"Obrigado, sabia que poderia contar com você neste pedido."
STR_DIALOGS_TOWN_AP_D3_JIVAN_2,Você não imagina o valor que estas flores possuem.
STR_DIALOGS_TOWN_AP_D3_JIVAN_3,"Suas propriedades curativas são inimagináveis, mas preparar as flores será um processo complicado. Precisarei canalizar toda concentração de que sou capaz."
STR_DIALOGS_TOWN_AP_D3_JIVAN_4,Procurarei avisá-lo quando tudo estiver pronto.
STR_DIALOGS_TOWN_AP_D1_CROMAMINION_1,"Força, Humano... Peço desculpas, creio que vocês costumam dizer ""saudações""."
STR_DIALOGS_TOWN_AP_D1_CROMAMINION_2,"Tenho um favor a pedir. Sei que você tem motivos para não confiar em mim, mas posso assegurar que não tenho más intenções."
STR_DIALOGS_TOWN_AP_D1_CROMAMINION_3,Apenas preciso que venha comigo e ouça o pedido do nosso Comandante.
STR_DIALOGS_TOWN_AP_D1_CROMAMINION_4,"Não se preocupe, não é uma jornada longa. Estamos baseados na periferia da cidade. Após ouvir, pode decidir se deseja ir ou não, mas, neste momento, você é nossa única esperança."
STR_DIALOGS_TOWN_AP_D2_CROMAMINION_1,"Comandante Beliagar. Como eu esperava, o Humano concordou em nos ouvir."
STR_DIALOGS_TOWN_AP_D2_CROMAMINION_2,"Saudações, Humano."
STR_DIALOGS_TOWN_AP_D1_CROMACHIEF_1,"Saudações, Humano. Chamamos você aqui porque nosso companheiro notou a grande coragem que você demonstrou ao defender a cidade da invasão da chuva escura."
STR_DIALOGS_TOWN_AP_D1_CROMACHIEF_2,"Há muito a contar e pouco tempo para agir, então tentarei ser breve."
STR_DIALOGS_TOWN_AP_D1_CROMACHIEF_3,"Certos motivos nos trouxeram a este mundo. Acreditamos que viajar aqui por nossos próprios meios viola as regras que governam este lugar, é por isso que mantemos distância dos assuntos da cidade. Ainda não sabemos como tudo isto funciona."
STR_DIALOGS_TOWN_AP_D1_CROMACHIEF_4,"Nosso Módulo Flutuante está localizado a uma altitude considerável, logo acima de uma densa camada de nuvens que parecem permanecer completamente imóveis."
STR_DIALOGS_TOWN_AP_D1_CROMACHIEF_5,"Quando chegamos, descemos com nossa nave para iniciar nossa pesquisa. Receio não poder dizer qual é seu propósito, mas, inesperadamente, um inimigo aproveitou que a maioria de nossas tropas estava aqui em terra e invadiu nosso módulo. Parecem ser piratas aéreos que se interessaram por nossa tecnologia."
STR_DIALOGS_TOWN_AP_D1_CROMACHIEF_6,Esses piratas sabiam o que estavam fazendo. Cortaram os elos que nos permitiriam voltar e aprisionaram a tripulação que permanecia lá dentro.
