offset,text_en,byte_budget
STR_DIALOGS_INTERMISSION_2_D1_FREYDIN_1,Liandris...,11
STR_DIALOGS_INTERMISSION_2_D1_FREYDIN_2,Liandris... answer my call.,27
STR_DIALOGS_INTERMISSION_2_D2_LIANDRIS_1,"I am here, my lady.",19
STR_DIALOGS_INTERMISSION_2_D2_FREYDIN_2,"Liandris, those Humans I was made aware of... I must know the circumstances of their arrival on Terragaya.",106
STR_DIALOGS_INTERMISSION_2_D2_LIANDRIS_3,They were preparing for war.,28
STR_DIALOGS_INTERMISSION_2_D2_FREYDIN_4,Preparing? They did not die in combat?,38
STR_DIALOGS_INTERMISSION_2_D2_LIANDRIS_5,"No, but we were called to their location, a place where they found themselves sealed off and isolated, not just from their own world, but from the universe",155
STR_DIALOGS_INTERMISSION_2_D2_FREYDIN_6,And they arrived not long after those beings began to appear on the planet's surface...,87
STR_DIALOGS_INTERMISSION_2_D2_LIANDRIS_7,"Is something the matter, my lady?",33
STR_DIALOGS_INTERMISSION_2_D2_FREYDIN_8,Nothing deserving of my time or energy at this moment. Keep your distance from them and visit Terragaya only when strictly necessary.,133
STR_DIALOGS_INTERMISSION_2_D2_FREYDIN_9,Inform the others.,18
STR_DIALOGS_INTERMISSION_2_D2_LIANDRIS_10,"As you wish, my lady.",21
