offset,text_target
STR_DIALOGS_TOWN_AFT_D1_BRIGARD_1,"Soldado, você voltou. Estava preocupado."
STR_DIALOGS_TOWN_AFT_D1_BRIGARD_2,Sirfiel me informou que a situação era crítica.
STR_DIALOGS_TOWN_AFT_D1_BRIGARD_3,"Além disso, a soldado Melian retornou e está muito mal."
STR_DIALOGS_TOWN_AFT_D1_BRIGARD_4,"Por mais que me incomode, só pude esperar seu retorno seguro e, de alguma forma, você sempre volta."
STR_DIALOGS_TOWN_AFT_D2_BRIGARD_1,Quer dizer que ele revelou a localização do Guardião?
STR_DIALOGS_TOWN_AFT_D2_BRIGARD_2,Acha que a informação é confiável desta vez?
STR_DIALOGS_TOWN_AFT_D2_BRIGARD_3,Entendi...
STR_DIALOGS_TOWN_AFT_D2_BRIGARD_4,"Nada mais! Se há algo que aprendi de seus relatos, é que você é um soldado intuitivo."
STR_DIALOGS_TOWN_AFT_D2_BRIGARD_5,Nossa partida se aproxima. A busca pelo Guardião começa amanhã.
STR_DIALOGS_TOWN_AFT_D2_BRIGARD_6,Use o que resta do dia para descansar. Amanhã marcamos para <color=LOC>Hel Swamp</color>.
STR_DIALOGS_TOWN_AFT_D2_BRIGARD_7,"Isto é tudo por ora. Pode ir, soldado."
STR_DIALOGS_TOWN_AFT_D2_BRIGARD_8,Bem feito.
STR_DIALOGS_TOWN_AFT_D3_EDIL_1,"Opa, soldado!"
STR_DIALOGS_TOWN_AFT_D3_EDIL_2,Também não consegue dormir?
STR_DIALOGS_TOWN_AFT_D3_EDIL_3,"Não consigo dormir nada, mas por motivo bem diferente do seu."
STR_DIALOGS_TOWN_AFT_D3_EDIL_4,Um passarinho me contou que você descobriu aonde o Guardião fica e vai procurar ele pra voltar pro seu mundo.
STR_DIALOGS_TOWN_AFT_D3_EDIL_5,"Espero que consiga. Depois de tudo que fez, merece."
STR_DIALOGS_TOWN_AFT_D3_EDIL_6,"Ah, não, não... não digo que sei aonde ele fica. Um dia vou procurar também."
STR_DIALOGS_TOWN_AFT_D3_EDIL_7,"Sei que meu tempo passou, mas sinto que preciso fazer isso pra ver o que me espera lá fora."
STR_DIALOGS_TOWN_AFT_D3_EDIL_8,"Me deixa triste saber que vocês saem amanhã. Foi legal ter hóspedes como vocês, e aprendi muito além de magia, pra variar..."
STR_DIALOGS_TOWN_AFT_D4_EDIL_1,"Aliás... tenho uma recompensa pra você, pra agradecer a espada que trouxe."
STR_DIALOGS_TOWN_AFT_D5_EDIL_1,Sabe? Acho que é a primeira vez que te vejo descansando desde que chegou.
STR_DIALOGS_TOWN_AFT_D5_EDIL_2,"Enfim, acho que é hora de eu tentar dormir. Não fica acordado a noite toda, vai querer estar bem pra amanhã."
STR_DIALOGS_TOWN_AFT_D5_EDIL_3,"Deixo você com seus pensamentos. Boa sorte, seja o que for."
STR_DIALOGS_TOWN_AFT_D6_EDIL_1,Beigon...
STR_DIALOGS_TOWN_AFT_D6_EDIL_2,É o nome do Guardião.
STR_DIALOGS_TOWN_AFT_D6_EDIL_3,Jivan me contou uma vez.
STR_DIALOGS_TOWN_AFT_D6_EDIL_4,Durma bem.
