offset,text_target
0x219c69,"Bom, não esperava voltar a este\n"
0x219c99,país assim...
0x219cae,É isso? Essas tais ruínas místicas\n
0x219cdc,encontraram?
0x219ceb,Acho que sim.
0x219cfc,"Vejo várias tendas armadas numa área rochosa,\n"
0x219d2f,com um monte de soldados Yamatan patrulhando.
0x219d5d,"Entre elas, vejo estudiosos, correndo\n"
0x219d89,que vai e volta.
0x219d9e,"E além disso, vejo uma pedra gigante, do tamanho de\n"
0x219dd1,uma mansão.
0x219ddc,"Em um canto da pedra, vejo uma abertura que\n"
0x219e0b,parece levar a uma caverna abaixo da\n
0x219e38,superfície.
0x219e41,"Muitos soldados fazem guarda na frente, com\n"
0x219e73,no rosto e lanças na mão.
0x219e9d,"No geral, o lugar parece bem intimidador."
0x219ecc,Faz sentido. Pode ter Uzurushan\n
0x219efc,soldados soltos vagando por aqui.
0x219f26,Seria uma perda enorme se eles fossem\n
0x219f57,"estragar as ruínas preciosas, afinal."
0x219f7d,Hmm. Pensei que você tinha dito que era intacto...
0x219fa9,"Hm. E agora, o que fazemos?"
0x219fbb,"Bom, nossa missão é investigar as ruínas, mas\n"
0x219fec,a gente chegou agora...
0x21a004,Que tal descansar primeiro e depois começar\n
0x21a032,investigação amanh--
0x21a04c,"Bom, ficar aqui parado não vai adiantar nada.\n"
0x21a07d,Que tal a gente pedir pra deixar entrar?
0x21a0a7,"Tá bom, vocês dois. Podem parar de me encarar\n"
0x21a0d8,você tá quase pulando? Eles são assustadores...
0x21a106,A gente vai lá conversar com um guarda primeiro.
0x21a137,Desculpe.
0x21a146,Guarda
0x21a14c,Hein? Quem é vocês?
0x21a161,"Uruuru, Saraana."
0x21a172,Sim.
0x21a177,"As gêmeas avançam, estendendo uma caixinha\n"
0x21a1a9,com um brasão gravado nele.
0x21a1c6,"É laqueada por fora com padrões dourados,\n"
0x21a1f9,e tem um cordão com uma borla presa\n
0x21a22a,fim.
0x21a22f,Qu-Que é...!?
0x21a23e,A expressão do guarda muda imediatamente\n
0x21a26f,muda conforme vê a caixa.
0x21a28b,Viemos investigar as ruínas. Você não\n
0x21a2bc,"você se importa em nos deixar passar, não é?"
0x21a2dd,"M-Minhas desculpas, senhor!!\n"
0x21a2fd,"Por favor, passem!!"
0x21a310,"Acesso na hora, sem perguntas..."
0x21a336,"Cara, esse negócio é quase DEMAIS bom."
0x21a35a,Depois de ver quanta autoridade isso tem\n
0x21a387,"de fato, avançamos em direção às\n"
0x21a3b4,ruínas.
0x21a3bb,Que foi isso? Aquele soldado estava\n
0x21a3e7,recuando tanto que quase caiu\n
0x21a413,si mesmo.
0x21a41c,Haku... quero saber exatamente o que você\n
0x21a448,"mostrou pra ele, acho."
0x21a460,Quê? Essa coisa aqui?
0x21a477,"Assim como o soldado, a expressão de todos\n"
0x21a4a6,muda na hora conforme veem a caixa.
0x21a4cf,A-Haku!? I-Isso... Isso é mesmo...?
0x21a4f8,O brasão gravado nele. Isso é--
