offset,text_en,byte_budget
STR_DIALOGS_PLAINS1_TUTO2_D1_SINKA_1,Huh?,4
STR_DIALOGS_PLAINS1_TUTO2_D1_SINKA_2,You seem a bit clueless.,24
STR_DIALOGS_PLAINS1_TUTO2_D1_SINKA_3,"Come on, you heard that Valkyrie. We've got work to do. Snap out of it!",71
STR_DIALOGS_PLAINS1_TUTO2_D1_SINKA_4,"Though, if you are on this road, that means you're assigned to the group tasked with exploring the cave. The rest are way ahead.",128
STR_DIALOGS_PLAINS1_TUTO2_D1_SINKA_5,"As you can see, this is no joke, so wake up and open your eyes because this place is full of disgusting creatures like that one.",128
STR_DIALOGS_PLAINS1_TUTO2_D1_SINKA_6,"Anyway, I'm off. I've wasted too much time on you already.",58
STR_DIALOGS_PLAINS1_TUTO2_D1_SINKA_7,Do yourself a favor and try not to lag behind.,46
STR_DIALOGS_PLAINS1_TUTO2_D2_SINKA_1,Luckily for you that creature was noisy enough to grab my attention.,68
STR_DIALOGS_PLAINS1_TUTO2_D2_SINKA_2,Don't thank me. Better if I don't have to save your skin ever again.,68
STR_DIALOGS_PLAINS1_TUTO2_D2_SINKA_3,What's wrong? Don't you know how to <color=IMP>dodge</color> and <color=IMP>block</color> enemy attacks?,104
STR_DIALOGS_PLAINS1_TUTO2_D2_SINKA_4,"Tssk... You know... I don't know anything about this place either. What I do know is that if you don't learn how to move, you won't last longer than a loose coin in the slums of Zarga.",184
STR_DIALOGS_PLAINS1_TUTO2_D2_SINKA_5,"The sooner you realise that, the better.",40
STR_DIALOGS_PLAINS1_TUTO2_D2_SINKA_6,"Go on, get moving. I'll keep an eye out around here.",52
STR_DIALOGS_PLAINS1_TUTO2_D3_SINKA_1,"Nice start, huh...",18
